method,rank,node_id,problem_id,node_type,rating,tags,score
semantic,1,1006F::EDITORIAL_ALGORITHM,1006F,EDITORIAL_ALGORITHM,1100,"['implementation', 'brute force']",0.43085633755583597
semantic,2,1005E::COMMON_MISTAKES,1005E,COMMON_MISTAKES,1500,"['greedy', 'math']",0.40463993772835316
semantic,3,1015G::COMMON_MISTAKES,1015G,COMMON_MISTAKES,1500,"['math', 'greedy']",0.40463993772835316
semantic,4,1012D::EDITORIAL_ALGORITHM,1012D,EDITORIAL_ALGORITHM,1000,['implementation'],0.3959720421288807
semantic,5,1020D::EDITORIAL_ALGORITHM,1020D,EDITORIAL_ALGORITHM,900,['implementation'],0.3959720421288807
semantic,6,1001A::COMMON_MISTAKES,1001A,COMMON_MISTAKES,900,"['greedy', 'sortings']",0.35923981156459517
semantic,7,1022F::COMMON_MISTAKES,1022F,COMMON_MISTAKES,1600,"['greedy', 'constructive algorithms']",0.35923981156459517
semantic,8,1010B::COMMON_MISTAKES,1010B,COMMON_MISTAKES,1400,"['greedy', 'sortings']",0.35923981156459517
keyword,1,1015G::COMMON_MISTAKES,1015G,COMMON_MISTAKES,1500,"['math', 'greedy']",0.18091113359168143
keyword,2,1005E::COMMON_MISTAKES,1005E,COMMON_MISTAKES,1500,"['greedy', 'math']",0.17957283869899732
keyword,3,1006F::EDITORIAL_ALGORITHM,1006F,EDITORIAL_ALGORITHM,1100,"['implementation', 'brute force']",0.1761604314497784
keyword,4,1001A::COMMON_MISTAKES,1001A,COMMON_MISTAKES,900,"['greedy', 'sortings']",0.1732456353439768
keyword,5,1022F::COMMON_MISTAKES,1022F,COMMON_MISTAKES,1600,"['greedy', 'constructive algorithms']",0.168166533101757
keyword,6,1023G::EDITORIAL_ALGORITHM,1023G,EDITORIAL_ALGORITHM,1200,"['implementation', 'math']",0.1674950359127707
keyword,7,1020D::EDITORIAL_ALGORITHM,1020D,EDITORIAL_ALGORITHM,900,['implementation'],0.16277391522711537
keyword,8,1012D::EDITORIAL_ALGORITHM,1012D,EDITORIAL_ALGORITHM,1000,['implementation'],0.1582230457375216
hybrid,1,1015G::COMMON_MISTAKES,1015G,COMMON_MISTAKES,1500,"['math', 'greedy']",0.39633485628051807
hybrid,2,1005E::COMMON_MISTAKES,1005E,COMMON_MISTAKES,1500,"['greedy', 'math']",0.3958664530680786
hybrid,3,1001A::COMMON_MISTAKES,1001A,COMMON_MISTAKES,900,"['greedy', 'sortings']",0.36414184988737874
hybrid,4,1022F::COMMON_MISTAKES,1022F,COMMON_MISTAKES,1600,"['greedy', 'constructive algorithms']",0.3623641641026018
hybrid,5,1010B::COMMON_MISTAKES,1010B,COMMON_MISTAKES,1400,"['greedy', 'sortings']",0.3578610658074207
hybrid,6,1006F::EDITORIAL_ALGORITHM,1006F,EDITORIAL_ALGORITHM,1100,"['implementation', 'brute force']",0.34171277041871584
hybrid,7,1002B::COMMON_MISTAKES,1002B,COMMON_MISTAKES,1200,"['greedy', 'implementation']",0.32714958176370335
hybrid,8,1020D::EDITORIAL_ALGORITHM,1020D,EDITORIAL_ALGORITHM,900,['implementation'],0.31435269771326285
personalized_hybrid,1,1015G::COMMON_MISTAKES,1015G,COMMON_MISTAKES,1500,"['math', 'greedy']",0.4763348562805181
personalized_hybrid,2,1005E::COMMON_MISTAKES,1005E,COMMON_MISTAKES,1500,"['greedy', 'math']",0.4758664530680786
personalized_hybrid,3,1001A::COMMON_MISTAKES,1001A,COMMON_MISTAKES,900,"['greedy', 'sortings']",0.44414184988737876
personalized_hybrid,4,1022F::COMMON_MISTAKES,1022F,COMMON_MISTAKES,1600,"['greedy', 'constructive algorithms']",0.4423641641026018
personalized_hybrid,5,1010B::COMMON_MISTAKES,1010B,COMMON_MISTAKES,1400,"['greedy', 'sortings']",0.43786106580742074
personalized_hybrid,6,1006F::EDITORIAL_ALGORITHM,1006F,EDITORIAL_ALGORITHM,1100,"['implementation', 'brute force']",0.42171277041871585
personalized_hybrid,7,1002B::COMMON_MISTAKES,1002B,COMMON_MISTAKES,1200,"['greedy', 'implementation']",0.40714958176370336
personalized_hybrid,8,1002B::EDITORIAL_ALGORITHM,1002B,EDITORIAL_ALGORITHM,1200,"['greedy', 'implementation']",0.3989037557958299
