global_problem_id,title,primary_topic,topics,techniques,prerequisites,risks,difficulty
codeforces_2218_G,"The 67th Iteration of ""Counting is Fun""",implementation_constructive,"[""implementation_constructive"", ""math"", ""techniques""]","[""constructive"", ""number_theory"", ""prefix_sums""]","[""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""divisibility"", ""modular_arithmetic"", ""range_aggregation"", ""index_boundaries""]","[""invalid_construction"", ""edge_cases"", ""proof_gap"", ""modulo_bug"", ""overflow"", ""divisibility_edge_case"", ""indexing_bug"", ""off_by_one"", ""tle""]",1800.0
codeforces_2218_F,The 67th Tree Problem,implementation_constructive,"[""implementation_constructive"", ""graphs"", ""dynamic_programming""]","[""constructive"", ""graphs"", ""dynamic_programming""]","[""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""graph_modeling"", ""dfs_bfs"", ""tree_invariants"", ""state_design"", ""transition_reasoning"", ""base_cases""]","[""invalid_construction"", ""edge_cases"", ""proof_gap"", ""visited_state_bug"", ""recursion_depth"", ""wrong_tree_root"", ""wrong_state"", ""missing_base_case"", ""bad_complexity"", ""tle""]",1500.0
codeforces_2218_E,The 67th XOR Problem,techniques,"[""techniques"", ""data_structures"", ""implementation_constructive"", ""greedy""]","[""binary_search"", ""brute_force"", ""data_structures"", ""greedy""]","[""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness"", ""constraint_reading"", ""complexity_estimation"", ""operation_invariants"", ""complexity_tradeoffs"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""tle"", ""bad_complexity"", ""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases""]",1200.0
codeforces_2218_D,The 67th OEIS Problem,implementation_constructive,"[""implementation_constructive"", ""greedy"", ""math""]","[""greedy"", ""number_theory"", ""constructive""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""divisibility"", ""modular_arithmetic"", ""pattern_recognition"", ""case_splitting"", ""validity_proof""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""modulo_bug"", ""overflow"", ""divisibility_edge_case"", ""invalid_construction"", ""proof_gap"", ""tle""]",1100.0
codeforces_2218_C,The 67th Permutation Problem,implementation_constructive,"[""implementation_constructive"", ""greedy"", ""math"", ""techniques""]","[""greedy"", ""constructive"", ""sorting""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""ordering_argument"", ""tie_handling""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""invalid_construction"", ""proof_gap"", ""tie_handling"", ""wrong_ordering"", ""tle""]",800.0
codeforces_2218_B,The 67th 6-7 Integer Problem,greedy,"[""greedy"", ""math""]","[""greedy""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""tle""]",800.0
codeforces_2218_A,The 67th Integer Problem,implementation_constructive,"[""implementation_constructive"", ""math"", ""greedy""]","[""brute_force"", ""constructive"", ""greedy""]","[""constraint_reading"", ""complexity_estimation"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""tle"", ""bad_complexity"", ""invalid_construction"", ""edge_cases"", ""proof_gap"", ""wrong_proof"", ""hidden_counterexample""]",800.0
codeforces_2185_H,BattleCows 2,techniques,"[""techniques"", ""implementation_constructive"", ""data_structures"", ""dynamic_programming"", ""greedy""]","[""binary_search"", ""brute_force"", ""data_structures"", ""dynamic_programming"", ""greedy"", ""prefix_sums"", ""sorting""]","[""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness"", ""constraint_reading"", ""complexity_estimation"", ""operation_invariants"", ""complexity_tradeoffs"", ""state_design"", ""transition_reasoning"", ""base_cases"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""range_aggregation"", ""index_boundaries"", ""ordering_argument"", ""tie_handling""]","[""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""tle"", ""bad_complexity"", ""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""wrong_state"", ""missing_base_case"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""indexing_bug"", ""tie_handling"", ""wrong_ordering"", ""precision_error""]",2500.0
codeforces_2185_G,Mixing MEXes,data_structures,"[""data_structures"", ""implementation_constructive"", ""math"", ""greedy""]","[""data_structures"", ""constructive"", ""greedy""]","[""operation_invariants"", ""complexity_tradeoffs"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""invalid_construction"", ""edge_cases"", ""proof_gap"", ""wrong_proof"", ""hidden_counterexample"", ""tle""]",1800.0
codeforces_2185_F,BattleCows,data_structures,"[""data_structures"", ""techniques"", ""implementation_constructive"", ""greedy""]","[""data_structures"", ""constructive"", ""greedy"", ""prefix_sums"", ""sorting""]","[""operation_invariants"", ""complexity_tradeoffs"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""range_aggregation"", ""index_boundaries"", ""ordering_argument"", ""tie_handling""]","[""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""invalid_construction"", ""edge_cases"", ""proof_gap"", ""wrong_proof"", ""hidden_counterexample"", ""indexing_bug"", ""off_by_one"", ""tie_handling"", ""wrong_ordering"", ""tle""]",1700.0
codeforces_2185_E,The Robotic Rush,techniques,"[""techniques"", ""greedy"", ""implementation_constructive""]","[""binary_search"", ""greedy"", ""constructive"", ""two_pointers""]","[""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""monotonic_window""]","[""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""invalid_construction"", ""proof_gap"", ""pointer_invariant_bug"", ""tle"", ""precision_error""]",1500.0
codeforces_2185_D,OutOfMemoryError,data_structures,"[""data_structures"", ""implementation_constructive"", ""math"", ""techniques"", ""graphs""]","[""data_structures"", ""constructive"", ""two_pointers"", ""graphs""]","[""operation_invariants"", ""complexity_tradeoffs"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""monotonic_window"", ""invariant_reasoning"", ""graph_modeling"", ""dfs_bfs"", ""tree_invariants""]","[""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""invalid_construction"", ""edge_cases"", ""proof_gap"", ""pointer_invariant_bug"", ""off_by_one"", ""visited_state_bug"", ""recursion_depth"", ""wrong_tree_root"", ""tle""]",1100.0
codeforces_2185_C,Shifted MEX,implementation_constructive,"[""implementation_constructive"", ""techniques""]","[""constructive"", ""sorting""]","[""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""ordering_argument"", ""tie_handling""]","[""invalid_construction"", ""edge_cases"", ""proof_gap"", ""tie_handling"", ""wrong_ordering"", ""tle"", ""bad_complexity""]",900.0
codeforces_2185_B,Prefix Max,greedy,"[""greedy"", ""techniques""]","[""greedy"", ""prefix_sums""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""range_aggregation"", ""index_boundaries""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""indexing_bug"", ""off_by_one"", ""tle""]",800.0
codeforces_2185_A,Perfect Root,implementation_constructive,"[""implementation_constructive"", ""math""]","[""direct_formula""]","[""algebraic_modeling"", ""integer_square_root"", ""overflow_awareness""]","[""precision_error"", ""overflow"", ""invalid_integer_root"", ""tle""]",800.0
codeforces_2167_G,Mukhammadali and the Smooth Array,data_structures,"[""data_structures"", ""dynamic_programming""]","[""data_structures"", ""dynamic_programming""]","[""operation_invariants"", ""complexity_tradeoffs"", ""state_design"", ""transition_reasoning"", ""base_cases""]","[""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""wrong_state"", ""missing_base_case"", ""bad_complexity"", ""tle""]",1600.0
codeforces_2167_F,"Tree, TREE!!!",graphs,"[""graphs"", ""dynamic_programming"", ""math"", ""greedy"", ""techniques""]","[""dynamic_programming"", ""graphs"", ""direct_formula"", ""greedy"", ""sorting""]","[""state_design"", ""transition_reasoning"", ""base_cases"", ""graph_modeling"", ""dfs_bfs"", ""tree_invariants"", ""algebraic_modeling"", ""integer_square_root"", ""overflow_awareness"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""ordering_argument"", ""tie_handling""]","[""wrong_state"", ""missing_base_case"", ""bad_complexity"", ""visited_state_bug"", ""recursion_depth"", ""wrong_tree_root"", ""precision_error"", ""overflow"", ""invalid_integer_root"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""tie_handling"", ""wrong_ordering"", ""tle""]",1600.0
codeforces_2167_E,khba Loves to Sleep!,techniques,"[""techniques"", ""data_structures"", ""math"", ""greedy"", ""implementation_constructive""]","[""binary_search"", ""data_structures"", ""greedy"", ""constructive"", ""sorting""]","[""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness"", ""operation_invariants"", ""complexity_tradeoffs"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""ordering_argument"", ""tie_handling""]","[""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""invalid_construction"", ""proof_gap"", ""tie_handling"", ""wrong_ordering"", ""tle""]",1600.0
codeforces_2167_D,Yet Another Array Problem,implementation_constructive,"[""implementation_constructive"", ""math"", ""greedy""]","[""brute_force"", ""constructive"", ""number_theory"", ""greedy""]","[""constraint_reading"", ""complexity_estimation"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""divisibility"", ""modular_arithmetic"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""tle"", ""bad_complexity"", ""invalid_construction"", ""edge_cases"", ""proof_gap"", ""modulo_bug"", ""overflow"", ""divisibility_edge_case"", ""wrong_proof"", ""hidden_counterexample"", ""off_by_one""]",1000.0
codeforces_2167_C,Isamatdin and His Magic Wand!,implementation_constructive,"[""implementation_constructive"", ""greedy"", ""techniques""]","[""greedy"", ""constructive"", ""sorting""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""ordering_argument"", ""tie_handling""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""invalid_construction"", ""proof_gap"", ""tie_handling"", ""wrong_ordering"", ""tle""]",800.0
codeforces_2167_B,Your Name,techniques,"[""techniques"", ""strings"", ""implementation_constructive""]","[""brute_force""]","[""constraint_reading"", ""complexity_estimation""]","[""tle"", ""bad_complexity""]",800.0
codeforces_2167_A,Square?,math,"[""math"", ""techniques"", ""implementation_constructive""]","[""brute_force""]","[""constraint_reading"", ""complexity_estimation""]","[""tle"", ""bad_complexity""]",800.0
codeforces_2148_G,Farmer John's Last Wish,techniques,"[""techniques"", ""data_structures"", ""math"", ""greedy""]","[""binary_search"", ""data_structures"", ""number_theory"", ""direct_formula"", ""greedy"", ""prefix_sums""]","[""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness"", ""operation_invariants"", ""complexity_tradeoffs"", ""divisibility"", ""modular_arithmetic"", ""algebraic_modeling"", ""integer_square_root"", ""overflow_awareness"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""range_aggregation"", ""index_boundaries""]","[""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""modulo_bug"", ""overflow"", ""divisibility_edge_case"", ""precision_error"", ""invalid_integer_root"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""indexing_bug"", ""tle""]",1900.0
codeforces_2148_F,Gravity Falls,greedy,"[""greedy"", ""implementation_constructive"", ""techniques"", ""math""]","[""greedy"", ""constructive"", ""direct_formula"", ""prefix_sums"", ""sorting""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""algebraic_modeling"", ""integer_square_root"", ""overflow_awareness"", ""range_aggregation"", ""index_boundaries"", ""ordering_argument"", ""tie_handling""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""invalid_construction"", ""proof_gap"", ""precision_error"", ""overflow"", ""invalid_integer_root"", ""indexing_bug"", ""off_by_one"", ""tie_handling"", ""wrong_ordering"", ""tle""]",1800.0
codeforces_2148_E,Split,techniques,"[""techniques"", ""data_structures"", ""math"", ""dynamic_programming""]","[""binary_search"", ""data_structures"", ""two_pointers"", ""direct_formula"", ""dynamic_programming"", ""sorting""]","[""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness"", ""operation_invariants"", ""complexity_tradeoffs"", ""monotonic_window"", ""invariant_reasoning"", ""algebraic_modeling"", ""integer_square_root"", ""overflow_awareness"", ""state_design"", ""transition_reasoning"", ""base_cases"", ""ordering_argument"", ""tie_handling""]","[""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""pointer_invariant_bug"", ""precision_error"", ""overflow"", ""invalid_integer_root"", ""wrong_state"", ""missing_base_case"", ""bad_complexity"", ""tie_handling"", ""wrong_ordering"", ""tle"", ""edge_cases""]",1200.0
codeforces_2148_D,Destruction of the Dandelion Fields,implementation_constructive,"[""implementation_constructive"", ""greedy"", ""techniques"", ""dynamic_programming""]","[""greedy"", ""dynamic_programming"", ""sorting""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""state_design"", ""transition_reasoning"", ""base_cases"", ""ordering_argument"", ""tie_handling""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""wrong_state"", ""missing_base_case"", ""bad_complexity"", ""tie_handling"", ""wrong_ordering"", ""tle""]",1000.0
codeforces_2148_C,Pacer,greedy,"[""greedy"", ""math""]","[""greedy""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""tle""]",900.0
codeforces_2148_B,Lasers,math,"[""math"", ""greedy"", ""graphs""]","[""greedy"", ""graphs""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""graph_modeling"", ""dfs_bfs"", ""tree_invariants""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""visited_state_bug"", ""recursion_depth"", ""wrong_tree_root"", ""tle""]",800.0
codeforces_2148_A,Sublime Sequence,implementation_constructive,"[""implementation_constructive"", ""data_structures"", ""math""]","[""brute_force"", ""data_structures""]","[""constraint_reading"", ""complexity_estimation"", ""operation_invariants"", ""complexity_tradeoffs""]","[""tle"", ""bad_complexity"", ""stale_update"", ""wrong_query_range"", ""complexity_bug""]",800.0
