node_id,global_problem_id,source,contest_id,platform_problem_id,node_type,node_title,node_text,parent_node_id,order,rating,difficulty,points,normalized_difficulty,original_tags,normalized_tags,topic_group,url,editorial_url,language,metadata
codeforces_750_A::01_STATEMENT,codeforces_750_A,codeforces,750,750A,STATEMENT,New Year and Hurry - Statement,"Given a limited amount of contest time, each solved problem i costs 5*i minutes. Find the maximum number of first problems that can be solved without exceeding the remaining time.",codeforces_750_A::ROOT,1,800,,500.0,800,"[""binary search"", ""brute force"", ""implementation"", ""math""]","[""techniques"", ""implementation_constructive"", ""math""]","[""techniques"", ""math""]",https://codeforces.com/problemset/problem/750/A,https://codeforces.com/problemset/problem/750/A,en,"{""editorial_status"": ""curated_observation"", ""is_empty"": false, ""memory_limit"": """", ""parse_status"": ""manual_demo"", ""statement_status"": ""curated_paraphrase"", ""time_limit"": """"}"
codeforces_750_A::02_INPUT,codeforces_750_A,codeforces,750,750A,INPUT,New Year and Hurry - Input,n is the number of available problems; k is the time already reserved.,codeforces_750_A::ROOT,2,800,,500.0,800,"[""binary search"", ""brute force"", ""implementation"", ""math""]","[""techniques"", ""implementation_constructive"", ""math""]","[""techniques"", ""math""]",https://codeforces.com/problemset/problem/750/A,https://codeforces.com/problemset/problem/750/A,en,"{""editorial_status"": ""curated_observation"", ""is_empty"": false, ""memory_limit"": """", ""parse_status"": ""manual_demo"", ""statement_status"": ""curated_paraphrase"", ""time_limit"": """"}"
codeforces_750_A::03_OUTPUT,codeforces_750_A,codeforces,750,750A,OUTPUT,New Year and Hurry - Output,Maximum x such that x <= n and the cumulative time fits.,codeforces_750_A::ROOT,3,800,,500.0,800,"[""binary search"", ""brute force"", ""implementation"", ""math""]","[""techniques"", ""implementation_constructive"", ""math""]","[""techniques"", ""math""]",https://codeforces.com/problemset/problem/750/A,https://codeforces.com/problemset/problem/750/A,en,"{""editorial_status"": ""curated_observation"", ""is_empty"": false, ""memory_limit"": """", ""parse_status"": ""manual_demo"", ""statement_status"": ""curated_paraphrase"", ""time_limit"": """"}"
codeforces_750_A::04_CONSTRAINTS,codeforces_750_A,codeforces,750,750A,CONSTRAINTS,New Year and Hurry - Constraints,"Small n, k within the contest time window.",codeforces_750_A::ROOT,4,800,,500.0,800,"[""binary search"", ""brute force"", ""implementation"", ""math""]","[""techniques"", ""implementation_constructive"", ""math""]","[""techniques"", ""math""]",https://codeforces.com/problemset/problem/750/A,https://codeforces.com/problemset/problem/750/A,en,"{""editorial_status"": ""curated_observation"", ""is_empty"": false, ""memory_limit"": """", ""parse_status"": ""manual_demo"", ""statement_status"": ""curated_paraphrase"", ""time_limit"": """"}"
codeforces_750_A::05_EXAMPLES,codeforces_750_A,codeforces,750,750A,EXAMPLES,New Year and Hurry - Examples,"[{""note"": ""Paraphrased demo sample omitted; see source URL.""}]",codeforces_750_A::ROOT,5,800,,500.0,800,"[""binary search"", ""brute force"", ""implementation"", ""math""]","[""techniques"", ""implementation_constructive"", ""math""]","[""techniques"", ""math""]",https://codeforces.com/problemset/problem/750/A,https://codeforces.com/problemset/problem/750/A,en,"{""editorial_status"": ""curated_observation"", ""is_empty"": false, ""memory_limit"": """", ""parse_status"": ""manual_demo"", ""statement_status"": ""curated_paraphrase"", ""time_limit"": """"}"
codeforces_750_A::06_NOTES,codeforces_750_A,codeforces,750,750A,NOTES,New Year and Hurry - Notes,Core inequality: 5*x*(x+1)/2 <= 240-k.,codeforces_750_A::ROOT,6,800,,500.0,800,"[""binary search"", ""brute force"", ""implementation"", ""math""]","[""techniques"", ""implementation_constructive"", ""math""]","[""techniques"", ""math""]",https://codeforces.com/problemset/problem/750/A,https://codeforces.com/problemset/problem/750/A,en,"{""editorial_status"": ""curated_observation"", ""is_empty"": false, ""memory_limit"": """", ""parse_status"": ""manual_demo"", ""statement_status"": ""curated_paraphrase"", ""time_limit"": """"}"
codeforces_750_A::07_EDITORIAL_FULL,codeforces_750_A,codeforces,750,750A,EDITORIAL_FULL,New Year and Hurry - Editorial Full,"The cumulative time is triangular. A binary-search solution checks whether a candidate x fits. A formula solution solves x^2 + x - 2*T <= 0, where T=(240-k)/5, then caps the result by n. Common mistakes: forgetting the cap by n or using floating point without flooring carefully.",codeforces_750_A::ROOT,7,800,,500.0,800,"[""binary search"", ""brute force"", ""implementation"", ""math""]","[""techniques"", ""implementation_constructive"", ""math""]","[""techniques"", ""math""]",https://codeforces.com/problemset/problem/750/A,https://codeforces.com/problemset/problem/750/A,en,"{""editorial_status"": ""curated_observation"", ""is_empty"": false, ""memory_limit"": """", ""parse_status"": ""manual_demo"", ""statement_status"": ""curated_paraphrase"", ""time_limit"": """"}"
codeforces_750_A::08_EDITORIAL_OBSERVATION,codeforces_750_A,codeforces,750,750A,EDITORIAL_OBSERVATION,New Year and Hurry - Editorial Observation,,codeforces_750_A::ROOT,8,800,,500.0,800,"[""binary search"", ""brute force"", ""implementation"", ""math""]","[""techniques"", ""implementation_constructive"", ""math""]","[""techniques"", ""math""]",https://codeforces.com/problemset/problem/750/A,https://codeforces.com/problemset/problem/750/A,en,"{""editorial_status"": ""curated_observation"", ""is_empty"": true, ""memory_limit"": """", ""parse_status"": ""manual_demo"", ""statement_status"": ""curated_paraphrase"", ""time_limit"": """"}"
codeforces_750_A::09_EDITORIAL_PROOF,codeforces_750_A,codeforces,750,750A,EDITORIAL_PROOF,New Year and Hurry - Editorial Proof,,codeforces_750_A::ROOT,9,800,,500.0,800,"[""binary search"", ""brute force"", ""implementation"", ""math""]","[""techniques"", ""implementation_constructive"", ""math""]","[""techniques"", ""math""]",https://codeforces.com/problemset/problem/750/A,https://codeforces.com/problemset/problem/750/A,en,"{""editorial_status"": ""curated_observation"", ""is_empty"": true, ""memory_limit"": """", ""parse_status"": ""manual_demo"", ""statement_status"": ""curated_paraphrase"", ""time_limit"": """"}"
codeforces_750_A::10_EDITORIAL_ALGORITHM,codeforces_750_A,codeforces,750,750A,EDITORIAL_ALGORITHM,New Year and Hurry - Editorial Algorithm,"A binary-search solution checks whether a candidate x fits.

A formula solution solves x^2 + x - 2*T <= 0, where T=(240-k)/5, then caps the result by n.",codeforces_750_A::ROOT,10,800,,500.0,800,"[""binary search"", ""brute force"", ""implementation"", ""math""]","[""techniques"", ""implementation_constructive"", ""math""]","[""techniques"", ""math""]",https://codeforces.com/problemset/problem/750/A,https://codeforces.com/problemset/problem/750/A,en,"{""editorial_status"": ""curated_observation"", ""is_empty"": false, ""memory_limit"": """", ""parse_status"": ""manual_demo"", ""statement_status"": ""curated_paraphrase"", ""time_limit"": """"}"
