tree_node_id,parent_tree_node_id,global_problem_id,node_role,node_type,title,summary,node_text,depth,order,source,normalized_difficulty,difficulty_bucket,original_tags,normalized_tags,topic_group,url,metadata
root::competitive_programming,,,ROOT,ROOT,Competitive Programming Knowledge Base,Corpus root for Codeforces and AtCoder problem knowledge.,,0,0,,,all,[],[],[],,{}
platform::codeforces,root::competitive_programming,,PLATFORM,PLATFORM,Codeforces,Problems from codeforces.,,1,1,codeforces,,all,[],[],[],,"{""source"": ""codeforces""}"
topic::codeforces::implementation_constructive,platform::codeforces,,TOPIC,TOPIC,Implementation Constructive,Problems grouped under topic implementation_constructive.,implementation constructive,2,1,codeforces,,all,[],"[""implementation_constructive""]","[""implementation_constructive""]",,"{""topic"": ""implementation_constructive""}"
topic::codeforces::techniques,platform::codeforces,,TOPIC,TOPIC,Techniques,Problems grouped under topic techniques.,techniques,2,2,codeforces,,all,[],"[""techniques""]","[""techniques""]",,"{""topic"": ""techniques""}"
topic::codeforces::graphs,platform::codeforces,,TOPIC,TOPIC,Graphs,Problems grouped under topic graphs.,graphs,2,3,codeforces,,all,[],"[""graphs""]","[""graphs""]",,"{""topic"": ""graphs""}"
topic::codeforces::data_structures,platform::codeforces,,TOPIC,TOPIC,Data Structures,Problems grouped under topic data_structures.,data structures,2,4,codeforces,,all,[],"[""data_structures""]","[""data_structures""]",,"{""topic"": ""data_structures""}"
topic::codeforces::greedy,platform::codeforces,,TOPIC,TOPIC,Greedy,Problems grouped under topic greedy.,greedy,2,6,codeforces,,all,[],"[""greedy""]","[""greedy""]",,"{""topic"": ""greedy""}"
difficulty::codeforces::implementation_constructive::1200-1599,topic::codeforces::implementation_constructive,,DIFFICULTY_BUCKET,DIFFICULTY_BUCKET,Difficulty 1200-1599,Problems with normalized difficulty in 1200-1599.,1200-1599,3,1,codeforces,1400.0,1200-1599,[],"[""implementation_constructive""]","[""implementation_constructive""]",,"{""difficulty_bucket"": ""1200-1599""}"
difficulty::codeforces::techniques::1600-1999,topic::codeforces::techniques,,DIFFICULTY_BUCKET,DIFFICULTY_BUCKET,Difficulty 1600-1999,Problems with normalized difficulty in 1600-1999.,1600-1999,3,2,codeforces,1900.0,1600-1999,[],"[""techniques""]","[""techniques""]",,"{""difficulty_bucket"": ""1600-1999""}"
difficulty::codeforces::graphs::2000-2399,topic::codeforces::graphs,,DIFFICULTY_BUCKET,DIFFICULTY_BUCKET,Difficulty 2000-2399,Problems with normalized difficulty in 2000-2399.,2000-2399,3,3,codeforces,2300.0,2000-2399,[],"[""graphs""]","[""graphs""]",,"{""difficulty_bucket"": ""2000-2399""}"
