query_id,query,rank,tree_node_id,parent_tree_node_id,global_problem_id,node_role,node_type,title,summary,value_score,guided_score,metadata_bonus,hybrid_score,normalized_difficulty,normalized_tags,url,reason
grid_l_proof,I understand the grid equation but I cannot prove why the construction condition is sufficient,1,problem::codeforces_1985_D,difficulty::codeforces::implementation_constructive::800-1199,codeforces_1985_D,PROBLEM,PROBLEM,Manhattan Circle,"Manhattan Circle D. Manhattan Circle time limit per test 2 seconds memory limit per test 256 megabytes input standard input output standard output Given a $n$ by $m$ grid consisting of '.' and '#' characters, there exists a whole manhattan circle on the grid. The...",1.63863,0.433846,0.18,1.360812,900.0,"[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/1985/D,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; recibio bonus por metadata/tags/filtros
grid_l_proof,I understand the grid equation but I cannot prove why the construction condition is sufficient,2,problem::codeforces_2167_D,difficulty::codeforces::implementation_constructive::800-1199,codeforces_2167_D,PROBLEM,PROBLEM,Yet Another Array Problem,Yet Another Array Problem D. Yet Another Array Problem time limit per test 2 seconds memory limit per test 256 megabytes input standard input output standard output You are given an integer $n$ and an array $a$ of length $n$. Find the smallest integer $x$...,1.623766,0.356923,0.18,1.322366,1000.0,"[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2167/D,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; recibio bonus por metadata/tags/filtros
grid_l_proof,I understand the grid equation but I cannot prove why the construction condition is sufficient,3,content::codeforces_2167_D_07_EDITORIAL_FULL,group::codeforces_2167_D::EDITORIAL_REASONING,codeforces_2167_D,CONTENT,EDITORIAL_FULL,Yet Another Array Problem - Editorial Full,"Hint 1: Answer is always prime number, try to prove why. Hint 2: Notice how equation works if $x$ does not satisfy property. Hint 3: It means that for each $i$, $a_{i} \equiv 0...",0.853105,1.031538,0.18,1.10091,1000.0,"[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2167/D,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; recibio bonus por metadata/tags/filtros
grid_l_proof,I understand the grid equation but I cannot prove why the construction condition is sufficient,4,content::codeforces_2167_D_08_EDITORIAL_OBSERVATION,group::codeforces_2167_D::EDITORIAL_REASONING,codeforces_2167_D,CONTENT,EDITORIAL_OBSERVATION,Yet Another Array Problem - Editorial Observation,Hint 2: Notice how equation works if $x$ does not satisfy property.,0.364048,1.026923,0.31,0.925941,1000.0,"[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2167/D,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; su tipo EDITORIAL_OBSERVATION encaja con la etapa PROOF; recibio bonus por metadata/tags/filtros
grid_l_proof,I understand the grid equation but I cannot prove why the construction condition is sufficient,5,content::codeforces_2167_D_09_EDITORIAL_PROOF,group::codeforces_2167_D::EDITORIAL_REASONING,codeforces_2167_D,CONTENT,EDITORIAL_PROOF,Yet Another Array Problem - Editorial Proof,"Hint 1: Answer is always prime number, try to prove why. Solution: Let's first try to prove our first claim.",0.392964,0.930769,0.31,0.90733,1000.0,"[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2167/D,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; su tipo EDITORIAL_PROOF encaja con la etapa PROOF; recibio bonus por metadata/tags/filtros
grid_l_proof,I understand the grid equation but I cannot prove why the construction condition is sufficient,6,approach::codeforces_2044_F::direct_formula,problem::codeforces_2044_F,codeforces_2044_F,APPROACH,APPROACH,Easy Demon Problem - Direct Formula Approach,Problem-specific route using direct formula.,0.0,1.083846,0.48,0.891862,1900.0,"[""techniques"", ""implementation_constructive"", ""data_structures"", ""math"", ""direct_formula""]",https://codeforces.com/problemset/problem/2044/F,coincide con la intencion detectada de la query; su tipo APPROACH encaja con la etapa PROOF; recibio bonus por metadata/tags/filtros
grid_l_proof,I understand the grid equation but I cannot prove why the construction condition is sufficient,7,approach::codeforces_1985_D::constructive,problem::codeforces_1985_D,codeforces_1985_D,APPROACH,APPROACH,Manhattan Circle - Constructive Approach,Problem-specific route using constructive.,0.313664,0.833846,0.36,0.871333,900.0,"[""implementation_constructive"", ""math"", ""constructive""]",https://codeforces.com/problemset/problem/1985/D,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; su tipo APPROACH encaja con la etapa PROOF; recibio bonus por metadata/tags/filtros
grid_l_proof,I understand the grid equation but I cannot prove why the construction condition is sufficient,8,approach::codeforces_2167_F::direct_formula,problem::codeforces_2167_F,codeforces_2167_F,APPROACH,APPROACH,"Tree, TREE!!! - Direct Formula Approach",Problem-specific route using direct formula.,0.0,0.960769,0.48,0.845092,1600.0,"[""graphs"", ""dynamic_programming"", ""math"", ""direct_formula""]",https://codeforces.com/problemset/problem/2167/F,coincide con la intencion detectada de la query; su tipo APPROACH encaja con la etapa PROOF; recibio bonus por metadata/tags/filtros
grid_l_proof,I understand the grid equation but I cannot prove why the construction condition is sufficient,9,approach::codeforces_2009_D::direct_formula,problem::codeforces_2009_D,codeforces_2009_D,APPROACH,APPROACH,Satyam and Counting - Direct Formula Approach,Problem-specific route using direct formula.,0.0,0.883846,0.48,0.815862,1400.0,"[""math"", ""direct_formula""]",https://codeforces.com/problemset/problem/2009/D,coincide con la intencion detectada de la query; su tipo APPROACH encaja con la etapa PROOF; recibio bonus por metadata/tags/filtros
grid_l_proof,I understand the grid equation but I cannot prove why the construction condition is sufficient,10,content::codeforces_2218_G_08_EDITORIAL_OBSERVATION,group::codeforces_2218_G::EDITORIAL_REASONING,codeforces_2218_G,CONTENT,EDITORIAL_OBSERVATION,"The 67th Iteration of ""Counting is Fun"" - Editorial Observation","Hint 3 What do you notice about people where $b_i = 0$? Hint 4 If $b_i = 0$, then $a_i$ must also equal $0$.",0.269682,0.853846,0.31,0.801665,1800.0,"[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2218/G,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; su tipo EDITORIAL_OBSERVATION encaja con la etapa PROOF; recibio bonus por metadata/tags/filtros
grid_l_proof,I understand the grid equation but I cannot prove why the construction condition is sufficient,11,group::codeforces_2167_D::EDITORIAL_REASONING,problem::codeforces_2167_D,codeforces_2167_D,SECTION_GROUP,EDITORIAL_REASONING,Editorial Reasoning,Editorial Reasoning nodes for Yet Another Array Problem.,0.998273,0.0,0.18,0.798929,1000.0,"[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2167/D,recibio score vectorial desde chunks similares; recibio bonus por metadata/tags/filtros
grid_l_proof,I understand the grid equation but I cannot prove why the construction condition is sufficient,12,approach::codeforces_2009_E::direct_formula,problem::codeforces_2009_E,codeforces_2009_E,APPROACH,APPROACH,Klee's SUPER DUPER LARGE Array!!! - Direct Formula Approach,Problem-specific route using direct formula.,0.0,0.806923,0.48,0.786631,1400.0,"[""techniques"", ""math"", ""ternary_search"", ""direct_formula""]",https://codeforces.com/problemset/problem/2009/E,coincide con la intencion detectada de la query; su tipo APPROACH encaja con la etapa PROOF; recibio bonus por metadata/tags/filtros
unique_values_formula,I need a formula or binary search style strategy for the Unique Values interactive math problem,1,topic::codeforces::techniques,platform::codeforces,,TOPIC,TOPIC,Techniques,Problems grouped under topic techniques.,2.542521,0.0,0.12,1.696363,,"[""techniques""]",,recibio score vectorial desde chunks similares; recibio bonus por metadata/tags/filtros
unique_values_formula,I need a formula or binary search style strategy for the Unique Values interactive math problem,2,difficulty::codeforces::techniques::1200-1599,topic::codeforces::techniques,,DIFFICULTY_BUCKET,DIFFICULTY_BUCKET,Difficulty 1200-1599,Problems with normalized difficulty in 1200-1599.,2.37045,0.0,0.18,1.649679,1200.0,"[""techniques""]",,recibio score vectorial desde chunks similares; recibio bonus por metadata/tags/filtros
unique_values_formula,I need a formula or binary search style strategy for the Unique Values interactive math problem,3,problem::codeforces_1985_F,difficulty::codeforces::techniques::1200-1599,codeforces_1985_F,PROBLEM,PROBLEM,Final Boss,Final Boss F. Final Boss time limit per test 2 seconds memory limit per test 256 megabytes input standard input output standard output You are facing the final boss in your favorite video game. The boss enemy has $h$ health. Your character has $n$ attacks....,1.191439,0.6425,0.4,1.382842,1500.0,"[""techniques"", ""data_structures""]",https://codeforces.com/problemset/problem/1985/F,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; recibio bonus por metadata/tags/filtros
unique_values_formula,I need a formula or binary search style strategy for the Unique Values interactive math problem,4,approach::codeforces_2094_H::binary_search,problem::codeforces_2094_H,codeforces_2094_H,APPROACH,APPROACH,La Vaca Saturno Saturnita - Binary Search Approach,Problem-specific route using binary search.,0.523975,1.1675,0.58,1.348514,1900.0,"[""techniques"", ""implementation_constructive"", ""math"", ""binary_search""]",https://codeforces.com/problemset/problem/2094/H,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; su tipo APPROACH encaja con la etapa ALGORITHM; recibio bonus por metadata/tags/filtros
unique_values_formula,I need a formula or binary search style strategy for the Unique Values interactive math problem,5,approach::codeforces_2167_E::binary_search,problem::codeforces_2167_E,codeforces_2167_E,APPROACH,APPROACH,khba Loves to Sleep! - Binary Search Approach,Problem-specific route using binary search.,0.513505,1.1675,0.58,1.342023,1600.0,"[""techniques"", ""data_structures"", ""math"", ""greedy"", ""implementation_constructive"", ""binary_search""]",https://codeforces.com/problemset/problem/2167/E,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; su tipo APPROACH encaja con la etapa ALGORITHM; recibio bonus por metadata/tags/filtros
unique_values_formula,I need a formula or binary search style strategy for the Unique Values interactive math problem,6,problem::codeforces_2044_E,difficulty::codeforces::techniques::1200-1599,codeforces_2044_E,PROBLEM,PROBLEM,Insane Problem,"Insane Problem E. Insane Problem time limit per test 2 seconds memory limit per test 256 megabytes input standard input output standard output Wave is given five integers $k$, $l_1$, $r_1$, $l_2$, and $r_2$. Wave wants you to help her count the number of ordered...",1.117773,0.6425,0.4,1.337169,1300.0,"[""techniques"", ""greedy"", ""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2044/E,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; recibio bonus por metadata/tags/filtros
unique_values_formula,I need a formula or binary search style strategy for the Unique Values interactive math problem,7,approach::codeforces_2009_G2::binary_search,problem::codeforces_2009_G2,codeforces_2009_G2,APPROACH,APPROACH,Yunli's Subarray Queries (hard version) - Binary Search Approach,Problem-specific route using binary search.,0.467853,1.1675,0.58,1.313719,2200.0,"[""techniques"", ""data_structures"", ""dynamic_programming"", ""binary_search""]",https://codeforces.com/problemset/problem/2009/G2,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; su tipo APPROACH encaja con la etapa ALGORITHM; recibio bonus por metadata/tags/filtros
unique_values_formula,I need a formula or binary search style strategy for the Unique Values interactive math problem,8,approach::codeforces_2044_E::binary_search,problem::codeforces_2044_E,codeforces_2044_E,APPROACH,APPROACH,Insane Problem - Binary Search Approach,Problem-specific route using binary search.,0.543127,1.0425,0.58,1.312889,1300.0,"[""techniques"", ""greedy"", ""implementation_constructive"", ""math"", ""binary_search""]",https://codeforces.com/problemset/problem/2044/E,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; su tipo APPROACH encaja con la etapa ALGORITHM; recibio bonus por metadata/tags/filtros
unique_values_formula,I need a formula or binary search style strategy for the Unique Values interactive math problem,9,approach::codeforces_2009_E::binary_search,problem::codeforces_2009_E,codeforces_2009_E,APPROACH,APPROACH,Klee's SUPER DUPER LARGE Array!!! - Binary Search Approach,Problem-specific route using binary search.,0.450675,1.1675,0.58,1.303069,1400.0,"[""techniques"", ""math"", ""ternary_search"", ""binary_search""]",https://codeforces.com/problemset/problem/2009/E,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; su tipo APPROACH encaja con la etapa ALGORITHM; recibio bonus por metadata/tags/filtros
unique_values_formula,I need a formula or binary search style strategy for the Unique Values interactive math problem,10,approach::codeforces_1999_G2::binary_search,problem::codeforces_1999_G2,codeforces_1999_G2,APPROACH,APPROACH,Ruler (hard version) - Binary Search Approach,Problem-specific route using binary search.,0.526389,1.0425,0.58,1.302511,1700.0,"[""techniques"", ""interactive"", ""ternary_search"", ""binary_search""]",https://codeforces.com/problemset/problem/1999/G2,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; su tipo APPROACH encaja con la etapa ALGORITHM; recibio bonus por metadata/tags/filtros
unique_values_formula,I need a formula or binary search style strategy for the Unique Values interactive math problem,11,approach::codeforces_1999_G1::binary_search,problem::codeforces_1999_G1,codeforces_1999_G1,APPROACH,APPROACH,Ruler (easy version) - Binary Search Approach,Problem-specific route using binary search.,0.523907,1.0425,0.58,1.300972,1500.0,"[""techniques"", ""interactive"", ""binary_search""]",https://codeforces.com/problemset/problem/1999/G1,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; su tipo APPROACH encaja con la etapa ALGORITHM; recibio bonus por metadata/tags/filtros
unique_values_formula,I need a formula or binary search style strategy for the Unique Values interactive math problem,12,approach::codeforces_2218_E::binary_search,problem::codeforces_2218_E,codeforces_2218_E,APPROACH,APPROACH,The 67th XOR Problem - Binary Search Approach,Problem-specific route using binary search.,0.522202,1.0425,0.58,1.299915,1200.0,"[""techniques"", ""data_structures"", ""implementation_constructive"", ""binary_search""]",https://codeforces.com/problemset/problem/2218/E,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; su tipo APPROACH encaja con la etapa ALGORITHM; recibio bonus por metadata/tags/filtros
tree_mex_implementation,"I get wrong answer on tree implementation, maybe edge cases or data structure update is wrong",1,problem::codeforces_2009_G3,difficulty::codeforces::data_structures::2400,codeforces_2009_G3,PROBLEM,PROBLEM,Yunli's Subarray Queries (extreme version),"Yunli's Subarray Queries (extreme version) G3. Yunli's Subarray Queries (extreme version) time limit per test 3 seconds memory limit per test 512 megabytes input standard input output standard output This is the extreme version of the problem. In this version, the output of each query...",1.143991,0.48,0.28,1.171674,2700.0,"[""data_structures"", ""dynamic_programming"", ""implementation_constructive""]",https://codeforces.com/problemset/problem/2009/G3,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; recibio bonus por metadata/tags/filtros
tree_mex_implementation,"I get wrong answer on tree implementation, maybe edge cases or data structure update is wrong",2,content::codeforces_2009_G3_07_EDITORIAL_FULL,group::codeforces_2009_G3::EDITORIAL_REASONING,codeforces_2009_G3,CONTENT,EDITORIAL_FULL,Yunli's Subarray Queries (extreme version) - Editorial Full,2009G3 - Yunli's Subarray Queries (extreme version) Analysis: Dominater069 Solution I decided to write the Editorial for this problem in a step-by-step manner. Some of the steps are really short and meant to be...,0.798987,0.32,0.28,0.896972,2700.0,"[""data_structures"", ""dynamic_programming"", ""implementation_constructive""]",https://codeforces.com/problemset/problem/2009/G3,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; recibio bonus por metadata/tags/filtros
tree_mex_implementation,"I get wrong answer on tree implementation, maybe edge cases or data structure update is wrong",3,group::codeforces_2009_G3::EDITORIAL_REASONING,problem::codeforces_2009_G3,codeforces_2009_G3,SECTION_GROUP,EDITORIAL_REASONING,Editorial Reasoning,Editorial Reasoning nodes for Yunli's Subarray Queries (extreme version).,0.744039,0.133333,0.28,0.791971,2700.0,"[""data_structures"", ""dynamic_programming"", ""implementation_constructive""]",https://codeforces.com/problemset/problem/2009/G3,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; recibio bonus por metadata/tags/filtros
tree_mex_implementation,"I get wrong answer on tree implementation, maybe edge cases or data structure update is wrong",4,approach::codeforces_2009_G3::data_structures,problem::codeforces_2009_G3,codeforces_2009_G3,APPROACH,APPROACH,Yunli's Subarray Queries (extreme version) - Data Structures Approach,Problem-specific route using data structures.,0.38825,0.5,0.33,0.760715,2700.0,"[""data_structures"", ""dynamic_programming"", ""implementation_constructive""]",https://codeforces.com/problemset/problem/2009/G3,recibio score vectorial desde chunks similares; coincide con la intencion detectada de la query; recibio bonus por metadata/tags/filtros
