tree_node_id,parent_tree_node_id,global_problem_id,node_key,parent_node_key,node_type,title,summary,evidence_text,node_text,source_section,skills,strategies,confidence,depth,order,source,normalized_difficulty,normalized_tags,topic_group,url,generation_status,generation_model,metadata
llm::codeforces_2218_G::problem,,codeforces_2218_G,problem,,PROBLEM,Contar arreglos a consistentes con tiempos b,"Dado n, m, y un arreglo b (0<=b_i<m) que contiene todos los valores 0..m-1 al menos una vez, contar cuántos arreglos a (0<=a_i<n) producen exactamente los tiempos de asiento b_i.","“For each i, the value b_i denotes the time unit at which person i sits down. Your task is to determine how many distinct arrays a are consistent with the given array b.”","Dado n, m, y un arreglo b (0<=b_i<m) que contiene todos los valores 0..m-1 al menos una vez, contar cuántos arreglos a (0<=a_i<n) producen exactamente los tiempos de asiento b_i.

“For each i, the value b_i denotes the time unit at which person i sits down. Your task is to determine how many distinct arrays a are consistent with the given array b.”",Statement,"[""Interpretar restricciones de proceso discreto"", ""Comprender simultaneidad por tiempo""]",[],0.78,0,1,codeforces,1800.0,"[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2218/G,responses_api,gpt-5.4-nano,"{""main_topic"": ""Conteo de configuraciones con restricciones locales y tiempos de activación"", ""difficulty_comment"": ""1800 (constructivo + matemático; requiere modelar tipos de condiciones y contar opciones por persona)."", ""warnings"": [""El editorial provisto no incluye una sección completa de Solution para el caso b_i=0; solo aparecen hints. Por tanto, el tratamiento exacto de b_i=0 en el conteo no está completamente soportado por el texto de Solution pegado."", ""No se proporciona análisis de complejidad ni detalles de implementación (p.ej., cómo indexar t en 0..m-1) en el texto dado.""]}"
llm::codeforces_2218_G::understand_when_no_valid_a,llm::codeforces_2218_G::problem,codeforces_2218_G,understand_when_no_valid_a,problem,UNDERSTANDING,Cuándo no existe solución,"Si una persona con b_i>0 no tiene vecino con menor b_i, nunca podrá sentarse; entonces la respuesta es 0.","“If a person i with b_i > 0 has no neighbour with a smaller b_i, they would never sit down so there is no valid a so we output 0.”","Si una persona con b_i>0 no tiene vecino con menor b_i, nunca podrá sentarse; entonces la respuesta es 0.

“If a person i with b_i > 0 has no neighbour with a smaller b_i, they would never sit down so there is no valid a so we output 0.”",Official editorial - Solution,"[""Razonamiento de imposibilidad por dependencia local""]","[""Verificar existencia de vecino con b menor para b_i>0""]",0.86,1,2,codeforces,1800.0,"[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2218/G,responses_api,gpt-5.4-nano,"{""main_topic"": ""Conteo de configuraciones con restricciones locales y tiempos de activación"", ""difficulty_comment"": ""1800 (constructivo + matemático; requiere modelar tipos de condiciones y contar opciones por persona)."", ""warnings"": [""El editorial provisto no incluye una sección completa de Solution para el caso b_i=0; solo aparecen hints. Por tanto, el tratamiento exacto de b_i=0 en el conteo no está completamente soportado por el texto de Solution pegado."", ""No se proporciona análisis de complejidad ni detalles de implementación (p.ej., cómo indexar t en 0..m-1) en el texto dado.""]}"
llm::codeforces_2218_G::obs_independence,llm::codeforces_2218_G::problem,codeforces_2218_G,obs_independence,problem,OBSERVATION,Independencia de a_i,Los valores a_i se pueden contar por persona de forma independiente mientras sean consistentes con b; luego se multiplican las cantidades.,“We can observe that all a_i are independent of each other so long as they are consistent with the array b. This means we can compute the number of possible a_i for every i separately.”,"Los valores a_i se pueden contar por persona de forma independiente mientras sean consistentes con b; luego se multiplican las cantidades.

“We can observe that all a_i are independent of each other so long as they are consistent with the array b. This means we can compute the number of possible a_i for every i separately.”",Official editorial - Solution,"[""Descomposición del conteo en factores independientes""]","[""Contar opciones por variable y multiplicar""]",0.84,1,3,codeforces,1800.0,"[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2218/G,responses_api,gpt-5.4-nano,"{""main_topic"": ""Conteo de configuraciones con restricciones locales y tiempos de activación"", ""difficulty_comment"": ""1800 (constructivo + matemático; requiere modelar tipos de condiciones y contar opciones por persona)."", ""warnings"": [""El editorial provisto no incluye una sección completa de Solution para el caso b_i=0; solo aparecen hints. Por tanto, el tratamiento exacto de b_i=0 en el conteo no está completamente soportado por el texto de Solution pegado."", ""No se proporciona análisis de complejidad ni detalles de implementación (p.ej., cómo indexar t en 0..m-1) en el texto dado.""]}"
llm::codeforces_2218_G::model_ct,llm::codeforces_2218_G::problem,codeforces_2218_G,model_ct,problem,MATHEMATICAL_MODEL,Modelo con c_t (prefijos por tiempo),Definir c_t como la cantidad de personas sentadas en el tiempo t o antes (equivale a b_i<=t). Se calcula con prefijos: c_t = c_{t-1} + (# que se sientan exactamente en t).,"“Let c_t be the number of people sat down at time t or earlier. This is all people where b_i ≤ t. For a time t, we can calculate c_t using prefix sums as it is the sum of c_{t-1} and the number of people that sit down at time t.”","Definir c_t como la cantidad de personas sentadas en el tiempo t o antes (equivale a b_i<=t). Se calcula con prefijos: c_t = c_{t-1} + (# que se sientan exactamente en t).

“Let c_t be the number of people sat down at time t or earlier. This is all people where b_i ≤ t. For a time t, we can calculate c_t using prefix sums as it is the sum of c_{t-1} and the number of people that sit down at time t.”",Official editorial - Solution,"[""Construir variables auxiliares"", ""Usar prefix sums""]","[""Precomputar c_t para rangos de tiempos""]",0.82,1,4,codeforces,1800.0,"[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2218/G,responses_api,gpt-5.4-nano,"{""main_topic"": ""Conteo de configuraciones con restricciones locales y tiempos de activación"", ""difficulty_comment"": ""1800 (constructivo + matemático; requiere modelar tipos de condiciones y contar opciones por persona)."", ""warnings"": [""El editorial provisto no incluye una sección completa de Solution para el caso b_i=0; solo aparecen hints. Por tanto, el tratamiento exacto de b_i=0 en el conteo no está completamente soportado por el texto de Solution pegado."", ""No se proporciona análisis de complejidad ni detalles de implementación (p.ej., cómo indexar t en 0..m-1) en el texto dado.""]}"
llm::codeforces_2218_G::proof_conditions_split,llm::codeforces_2218_G::problem,codeforces_2218_G,proof_conditions_split,problem,PROOF,Separar por cuál condición ocurre primero,"Para que una persona se siente en el tiempo t, deben cumplirse dos condiciones: (1) haber al menos a_i sentados antes de t, y (2) al menos un vecino ya sentado antes de t. Se clasifica en Tipo A si primero ocurre la condición 1 (espera a vecino) y Tipo B si primero ocurre la condición 2 (espera a suficientes sentados).","“For a person to sit down at time t, two conditions had to be met: At least a_i people have already sat down strictly before time t. At least one of their neighbors ... has already sat down strictly before time t. We can now split people into 2 types depending on which condition occurs first for them.”","Para que una persona se siente en el tiempo t, deben cumplirse dos condiciones: (1) haber al menos a_i sentados antes de t, y (2) al menos un vecino ya sentado antes de t. Se clasifica en Tipo A si primero ocurre la condición 1 (espera a vecino) y Tipo B si primero ocurre la condición 2 (espera a suficientes sentados).

“For a person to sit down at time t, two conditions had to be met: At least a_i people have already sat down strictly before time t. At least one of their neighbors ... has already sat down strictly before time t. We can now split people into 2 types depending on which condition occurs first for them.”",Official editorial - Solution,"[""Razonamiento por casos"", ""Interpretar condiciones temporales""]","[""Clasificación por orden de satisfacción""]",0.8,1,5,codeforces,1800.0,"[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2218/G,responses_api,gpt-5.4-nano,"{""main_topic"": ""Conteo de configuraciones con restricciones locales y tiempos de activación"", ""difficulty_comment"": ""1800 (constructivo + matemático; requiere modelar tipos de condiciones y contar opciones por persona)."", ""warnings"": [""El editorial provisto no incluye una sección completa de Solution para el caso b_i=0; solo aparecen hints. Por tanto, el tratamiento exacto de b_i=0 en el conteo no está completamente soportado por el texto de Solution pegado."", ""No se proporciona análisis de complejidad ni detalles de implementación (p.ej., cómo indexar t en 0..m-1) en el texto dado.""]}"
llm::codeforces_2218_G::typeA,llm::codeforces_2218_G::proof_conditions_split,codeforces_2218_G,typeA,proof_conditions_split,PROOF_STEP,Tipo A: condición 1 primero,Tipo A: la persona está esperando a que un vecino se siente. Es de Tipo A si el tiempo más temprano en que se sienta alguno de sus vecinos es exactamente 1 menos que su tiempo de asiento. Entonces a_i puede ser cualquier valor entre 1 y c_{t-1} inclusive: c_{t-1} posibilidades.,“Type A: Condition 1 is satisfied first... A person is of this type if the earliest time one of their neighbours sat down is exactly 1 less than the time they sat down. This means their a_i can be any value between 1 and c_{t-1} inclusive so there are c_{t-1} possible values.”,"Tipo A: la persona está esperando a que un vecino se siente. Es de Tipo A si el tiempo más temprano en que se sienta alguno de sus vecinos es exactamente 1 menos que su tiempo de asiento. Entonces a_i puede ser cualquier valor entre 1 y c_{t-1} inclusive: c_{t-1} posibilidades.

“Type A: Condition 1 is satisfied first... A person is of this type if the earliest time one of their neighbours sat down is exactly 1 less than the time they sat down. This means their a_i can be any value between 1 and c_{t-1} inclusive so there are c_{t-1} possible values.”",Official editorial - Solution,"[""Conteo de enteros en intervalos"", ""Razonamiento con tiempos vecinos""]","[""Determinar tipo por comparación de tiempos""]",0.83,2,6,codeforces,1800.0,"[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2218/G,responses_api,gpt-5.4-nano,"{""main_topic"": ""Conteo de configuraciones con restricciones locales y tiempos de activación"", ""difficulty_comment"": ""1800 (constructivo + matemático; requiere modelar tipos de condiciones y contar opciones por persona)."", ""warnings"": [""El editorial provisto no incluye una sección completa de Solution para el caso b_i=0; solo aparecen hints. Por tanto, el tratamiento exacto de b_i=0 en el conteo no está completamente soportado por el texto de Solution pegado."", ""No se proporciona análisis de complejidad ni detalles de implementación (p.ej., cómo indexar t en 0..m-1) en el texto dado.""]}"
llm::codeforces_2218_G::typeB,llm::codeforces_2218_G::proof_conditions_split,codeforces_2218_G,typeB,proof_conditions_split,PROOF_STEP,Tipo B: condición 2 primero,"Tipo B: la persona está esperando a que haya suficientes personas sentadas. Es de Tipo B si el tiempo de asiento es al menos 2 mayor que el tiempo más temprano de sus vecinos. Como no se sentó en t-1, su a_i debe ser mayor que c_{t-2}; por tanto a_i está entre c_{t-2}+1 y c_{t-1} inclusive, dando c_{t-1}-c_{t-2} posibilidades.","“Type B: Condition 2 is satisfied first... A person is of this type if the time they sit down is at least 2 greater than the earliest time one of their neighbours sat down. Since they did not sit down at time t-1, their a_i must be greater than c_{t-2}. This means it must be between c_{t-2}+1 and c_{t-1} inclusive, giving c_{t-1}-c_{t-2} possibilities.”","Tipo B: la persona está esperando a que haya suficientes personas sentadas. Es de Tipo B si el tiempo de asiento es al menos 2 mayor que el tiempo más temprano de sus vecinos. Como no se sentó en t-1, su a_i debe ser mayor que c_{t-2}; por tanto a_i está entre c_{t-2}+1 y c_{t-1} inclusive, dando c_{t-1}-c_{t-2} posibilidades.

“Type B: Condition 2 is satisfied first... A person is of this type if the time they sit down is at least 2 greater than the earliest time one of their neighbours sat down. Since they did not sit down at time t-1, their a_i must be greater than c_{t-2}. This means it must be between c_{t-2}+1 and c_{t-1} inclusive, giving c_{t-1}-c_{t-2} possibilities.”",Official editorial - Solution,"[""Conteo por diferencias de prefijos"", ""Razonamiento con exclusión de t-1""]","[""Usar c_{t-2} y c_{t-1} para el rango""]",0.83,2,7,codeforces,1800.0,"[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2218/G,responses_api,gpt-5.4-nano,"{""main_topic"": ""Conteo de configuraciones con restricciones locales y tiempos de activación"", ""difficulty_comment"": ""1800 (constructivo + matemático; requiere modelar tipos de condiciones y contar opciones por persona)."", ""warnings"": [""El editorial provisto no incluye una sección completa de Solution para el caso b_i=0; solo aparecen hints. Por tanto, el tratamiento exacto de b_i=0 en el conteo no está completamente soportado por el texto de Solution pegado."", ""No se proporciona análisis de complejidad ni detalles de implementación (p.ej., cómo indexar t en 0..m-1) en el texto dado.""]}"
llm::codeforces_2218_G::algorithm_count,llm::codeforces_2218_G::problem,codeforces_2218_G,algorithm_count,problem,ALGORITHM,Contar opciones de a_i y multiplicar,"Iterar sobre cada persona i, hallar el tiempo más temprano en que se sentó alguno de sus vecinos para decidir Tipo A o Tipo B, calcular cuántos valores posibles de a_i hay según c_t, y multiplicar todas las cantidades módulo 676767677.","“We can iterate over all people i and look at the earliest time one of their neighbours sat down to find out which type of person they are, and then compute how many valid a_i there are for them. Finally, we can multiply the number of valid a_i for every person, and output this modulo 676767677.”","Iterar sobre cada persona i, hallar el tiempo más temprano en que se sentó alguno de sus vecinos para decidir Tipo A o Tipo B, calcular cuántos valores posibles de a_i hay según c_t, y multiplicar todas las cantidades módulo 676767677.

“We can iterate over all people i and look at the earliest time one of their neighbours sat down to find out which type of person they are, and then compute how many valid a_i there are for them. Finally, we can multiply the number of valid a_i for every person, and output this modulo 676767677.”",Official editorial - Solution,"[""Implementar clasificación por vecino"", ""Multiplicación modular""]","[""Para cada i: determinar tipo y rango de a_i"", ""Acumular producto modular""]",0.78,1,8,codeforces,1800.0,"[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2218/G,responses_api,gpt-5.4-nano,"{""main_topic"": ""Conteo de configuraciones con restricciones locales y tiempos de activación"", ""difficulty_comment"": ""1800 (constructivo + matemático; requiere modelar tipos de condiciones y contar opciones por persona)."", ""warnings"": [""El editorial provisto no incluye una sección completa de Solution para el caso b_i=0; solo aparecen hints. Por tanto, el tratamiento exacto de b_i=0 en el conteo no está completamente soportado por el texto de Solution pegado."", ""No se proporciona análisis de complejidad ni detalles de implementación (p.ej., cómo indexar t en 0..m-1) en el texto dado.""]}"
llm::codeforces_2218_G::complexity,llm::codeforces_2218_G::problem,codeforces_2218_G,complexity,problem,COMPLEXITY,Complejidad,No especificada en el editorial provisto.,“time limit per test 2 seconds memory limit per test 256 megabytes” (no hay análisis de complejidad en el editorial pegado).,"No especificada en el editorial provisto.

“time limit per test 2 seconds memory limit per test 256 megabytes” (no hay análisis de complejidad en el editorial pegado).",Statement / Editorial (no incluye complejidad),[],[],0.2,1,9,codeforces,1800.0,"[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2218/G,responses_api,gpt-5.4-nano,"{""main_topic"": ""Conteo de configuraciones con restricciones locales y tiempos de activación"", ""difficulty_comment"": ""1800 (constructivo + matemático; requiere modelar tipos de condiciones y contar opciones por persona)."", ""warnings"": [""El editorial provisto no incluye una sección completa de Solution para el caso b_i=0; solo aparecen hints. Por tanto, el tratamiento exacto de b_i=0 en el conteo no está completamente soportado por el texto de Solution pegado."", ""No se proporciona análisis de complejidad ni detalles de implementación (p.ej., cómo indexar t en 0..m-1) en el texto dado.""]}"
llm::codeforces_2218_G::implementation_notes,llm::codeforces_2218_G::problem,codeforces_2218_G,implementation_notes,problem,IMPLEMENTATION,Notas de implementación (según editorial),"Construir c_t con prefix sums sobre frecuencias de b_i; para cada i calcular el mínimo b de sus vecinos (si existen) y aplicar fórmulas de Tipo A/B para obtener el número de opciones de a_i; si b_i>0 y no hay vecino con b menor, devolver 0.","“For a time t, we can calculate c_t using prefix sums...” y “If a person i with b_i > 0 has no neighbour with a smaller b_i... output 0.” y “iterate over all people i and look at the earliest time one of their neighbours sat down...”","Construir c_t con prefix sums sobre frecuencias de b_i; para cada i calcular el mínimo b de sus vecinos (si existen) y aplicar fórmulas de Tipo A/B para obtener el número de opciones de a_i; si b_i>0 y no hay vecino con b menor, devolver 0.

“For a time t, we can calculate c_t using prefix sums...” y “If a person i with b_i > 0 has no neighbour with a smaller b_i... output 0.” y “iterate over all people i and look at the earliest time one of their neighbours sat down...”",Official editorial - Solution,"[""Prefijos por frecuencia"", ""Manejo de bordes i=1 y i=n""]","[""Precomputar c_t"", ""Calcular mínimo de vecinos""]",0.62,1,10,codeforces,1800.0,"[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2218/G,responses_api,gpt-5.4-nano,"{""main_topic"": ""Conteo de configuraciones con restricciones locales y tiempos de activación"", ""difficulty_comment"": ""1800 (constructivo + matemático; requiere modelar tipos de condiciones y contar opciones por persona)."", ""warnings"": [""El editorial provisto no incluye una sección completa de Solution para el caso b_i=0; solo aparecen hints. Por tanto, el tratamiento exacto de b_i=0 en el conteo no está completamente soportado por el texto de Solution pegado."", ""No se proporciona análisis de complejidad ni detalles de implementación (p.ej., cómo indexar t en 0..m-1) en el texto dado.""]}"
