node_id,parent_node_id,global_problem_id,node_type,title,text,depth,order,source,normalized_difficulty,normalized_tags,topic_group,url,metadata
pi::root::competitive_programming,,,ROOT,Competitive Programming RAG Corpus,Root node for Codeforces and AtCoder problem knowledge.,0,0,,,[],[],,"{""phase"": ""pageindex_ready_export""}"
pi::pedagogy::root,pi::root::competitive_programming,,PEDAGOGY_ROOT,Pedagogical Knowledge Layer,"Connected layer of topics, techniques, prerequisites, risks, and student-facing approaches.",1,0,,,[],[],,"{""layer"": ""pedagogical_graph""}"
pi::platform::codeforces,pi::root::competitive_programming,,PLATFORM,Codeforces,Problems from codeforces.,1,1,codeforces,,[],[],,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2218/G"", ""normalized_tags"": [""implementation_constructive"", ""math""], ""topic_group"": [""implementation_constructive"", ""math""], ""difficulty"": 1800.0}"
pi::pedagogy::prerequisites,pi::pedagogy::root,,PREREQUISITE_GROUP,Prerequisites,Reusable prerequisite skills used to explain why an approach is valid.,2,1,,,[],[],,"{""layer"": ""pedagogical_graph""}"
pi::pedagogy::topic::implementation_constructive,pi::pedagogy::root,,TOPIC,Implementation Constructive,Implementation-heavy and constructive pattern building.,2,1,,,"[""implementation_constructive""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""implementation_constructive""}"
pi::pedagogy::topic::math,pi::pedagogy::root,,TOPIC,Math,"Mathematical modeling, formulas, number theory, counting, and proof-oriented reasoning.",2,1,,,"[""math""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""math""}"
pi::pedagogy::topic::techniques,pi::pedagogy::root,,TOPIC,Techniques,"Reusable techniques such as binary search, two pointers, sorting, and prefix sums.",2,1,,,"[""techniques""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""techniques""}"
pi::topic::codeforces::implementation_constructive,pi::platform::codeforces,,TOPIC,Implementation Constructive,implementation_constructive math,2,1,codeforces,,"[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2218/G"", ""normalized_tags"": [""implementation_constructive"", ""math""], ""topic_group"": [""implementation_constructive"", ""math""], ""difficulty"": 1800.0, ""topic"": ""implementation_constructive""}"
pi::pedagogy::risks,pi::pedagogy::root,,RISK_GROUP,Common Risks,"Reusable error modes such as overflow, off-by-one, weak proof, and missing edge cases.",2,2,,,[],[],,"{""layer"": ""pedagogical_graph""}"
pi::pedagogy::topic::dynamic_programming,pi::pedagogy::root,,TOPIC,Dynamic Programming,"State definition, recurrence, transitions, and optimization over subproblems.",2,2,,,"[""dynamic_programming""]","[""dynamic_programming""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""dynamic_programming""}"
pi::pedagogy::topic::graphs,pi::pedagogy::root,,TOPIC,Graphs,"Graph, tree, traversal, connectivity, and structure-based reasoning.",2,2,,,"[""graphs""]","[""graphs""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""graphs""}"
pi::pedagogy::topic::data_structures,pi::pedagogy::root,,TOPIC,Data Structures,"Efficient state maintenance with sets, heaps, DSU, Fenwick, or segment trees.",2,3,,,"[""data_structures""]","[""data_structures""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""data_structures""}"
pi::pedagogy::topic::greedy,pi::pedagogy::root,,TOPIC,Greedy,"Local choices, exchange arguments, sorting decisions, and proof of optimality.",2,3,,,"[""greedy""]","[""greedy""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""greedy""}"
pi::topic::codeforces::techniques,pi::platform::codeforces,,TOPIC,Techniques,techniques data_structures implementation_constructive,2,3,codeforces,,"[""techniques"", ""data_structures"", ""implementation_constructive""]","[""techniques"", ""data_structures"", ""implementation_constructive""]",,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2218/E"", ""normalized_tags"": [""techniques"", ""data_structures"", ""implementation_constructive""], ""topic_group"": [""techniques"", ""data_structures"", ""implementation_constructive""], ""difficulty"": 1200.0, ""topic"": ""techniques""}"
pi::topic::codeforces::greedy,pi::platform::codeforces,,TOPIC,Greedy,greedy math,2,6,codeforces,,"[""greedy"", ""math""]","[""greedy"", ""math""]",,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2218/B"", ""normalized_tags"": [""greedy"", ""math""], ""topic_group"": [""greedy"", ""math""], ""difficulty"": 800.0, ""topic"": ""greedy""}"
pi::topic::codeforces::data_structures,pi::platform::codeforces,,TOPIC,Data Structures,data_structures implementation_constructive math,2,9,codeforces,,"[""data_structures"", ""implementation_constructive"", ""math""]","[""data_structures"", ""implementation_constructive"", ""math""]",,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2185/G"", ""normalized_tags"": [""data_structures"", ""implementation_constructive"", ""math""], ""topic_group"": [""data_structures"", ""implementation_constructive"", ""math""], ""difficulty"": 1800.0, ""topic"": ""data_structures""}"
pi::topic::codeforces::graphs,pi::platform::codeforces,,TOPIC,Graphs,graphs dynamic_programming math,2,17,codeforces,,"[""graphs"", ""dynamic_programming"", ""math""]","[""graphs"", ""dynamic_programming"", ""math""]",,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2167/F"", ""normalized_tags"": [""graphs"", ""dynamic_programming"", ""math""], ""topic_group"": [""graphs"", ""dynamic_programming"", ""math""], ""difficulty"": 1600.0, ""topic"": ""graphs""}"
pi::pedagogy::topic::strings,pi::pedagogy::root,,TOPIC,Strings,Competitive programming topic: strings.,2,21,,,"[""strings""]","[""strings""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""strings""}"
pi::topic::codeforces::math,pi::platform::codeforces,,TOPIC,Math,math techniques,2,22,codeforces,,"[""math"", ""techniques""]","[""math"", ""techniques""]",,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2167/A"", ""normalized_tags"": [""math"", ""techniques""], ""topic_group"": [""math"", ""techniques""], ""difficulty"": 800.0, ""topic"": ""math""}"
pi::topic::codeforces::strings,pi::platform::codeforces,,TOPIC,Strings,strings,2,37,codeforces,,"[""strings""]","[""strings""]",,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2094/A"", ""normalized_tags"": [""strings""], ""topic_group"": [""strings""], ""difficulty"": 800.0, ""topic"": ""strings""}"
