chunk_id,tree_node_id,global_problem_id,node_role,node_type,chunk_text,chunk_word_count
chunk::topic_codeforces_implementation_constructive::0,topic::codeforces::implementation_constructive,,TOPIC,TOPIC,implementation constructive,2
chunk::problem_codeforces_2219_A::0,problem::codeforces_2219_A,codeforces_2219_A,PROBLEM,PROBLEM,"Grid L A. Grid L time limit per test 2 seconds memory limit per test 256 megabytes input standard input output standard output Roger has $$$p$$$ unit-length segments and $$$q$$$ L-shaped pieces, each formed by joining two unit-length segments at a right angle. He wants to use all of these pieces, with no piece left unused, to form a grid of dimensions $$$n \times m$$$. Given $$$p$$$ and $$$q$$$, determine whether there exist positive integers $$$n$$$ and $$$m$$$ such that an $$$n \times m$$$ grid can be formed using exactly",90
chunk::problem_codeforces_2219_A::72,problem::codeforces_2219_A,codeforces_2219_A,PROBLEM,PROBLEM,"exist positive integers $$$n$$$ and $$$m$$$ such that an $$$n \times m$$$ grid can be formed using exactly $$$p$$$ unit-length segments and $$$q$$$ L-shaped pieces, possibly rotating them, and provide any valid $$$n$$$ and $$$m$$$. Hint1: We want an easy to check condition on $$$m$$$, $$$n$$$, $$$p$$$, $$$q$$$ that is equivalent to being able to fill the grid. Hint2 (strong spoiler): You can fill the $$$m\times n$$$ grid if and only if $$$p+2q = m(n+1)+n(m+1)$$$ and $$$p\ge \vert m-n\vert$$$. (See tutorial for proof) Hint3: $$$p+2q = m(n+1) + n(m+1)$$$ is",90
chunk::problem_codeforces_2219_A::144,problem::codeforces_2219_A,codeforces_2219_A,PROBLEM,PROBLEM,"$$$p+2q = m(n+1)+n(m+1)$$$ and $$$p\ge \vert m-n\vert$$$. (See tutorial for proof) Hint3: $$$p+2q = m(n+1) + n(m+1)$$$ is quadratic on $$$m$$$ and $$$n$$$. If you assume $$$m\ge n$$$, can you say anything on the size of $$$n$$$? Solution: The following is the key observation of the problem. Claim. We can fill an $$$m\times n$$$ grid using $$$p$$$ segments and $$$q$$$ L's if and only if $$$p+2q = m(n+1)+n(m+1)$$$ and $$$p \ge \vert m-n\vert$$$. Proof. Necessity is clear: $$$p+2q = m(n+1)+n(m+1)$$$ follows from looking at the total number of edges, and",90
chunk::problem_codeforces_2219_A::216,problem::codeforces_2219_A,codeforces_2219_A,PROBLEM,PROBLEM,"m-n\vert$$$. Proof. Necessity is clear: $$$p+2q = m(n+1)+n(m+1)$$$ follows from looking at the total number of edges, and $$$p\ge \vert m-n\vert$$$ follows from comparing the number of horizontal edges and vertical edges. Let us prove sufficiency. Note that two segments can form an L, so since $$$$$$m-n\equiv m+n\equiv 2mn+m+n\equiv 2q+p\equiv p\pmod 2,$$$$$$ we may assume WLOG that $$$p=m-n$$$. Now we can just use the following explicit construction. To not bore you all with a written description, we show the construction for $$$m=4$$$, $$$n=6$$$, which clearly generalizes. So we just need",90
chunk::problem_codeforces_2219_A::288,problem::codeforces_2219_A,codeforces_2219_A,PROBLEM,PROBLEM,"with a written description, we show the construction for $$$m=4$$$, $$$n=6$$$, which clearly generalizes. So we just need to find a pair $$$(m,n)$$$ satisfying the above conditions. We do so in $$$O(\sqrt{p+2q})$$$. Assume that $$$m\ge n$$$. Then we have that $$$ p+2q = m(n+1)+n(m+1) \ge 2n(n+1) \implies n \le \sqrt{p/2+q}. $$$ So we can iterate $$$n$$$ from $$$1$$$ to $$$\left\lfloor\sqrt{p/2+q}\right\rfloor$$$ and, for each $$$n$$$, check if $$$ m = \frac{p+2q-n}{2n+1} $$$ is a positive integer such that $$$\vert m-n\vert \le p$$$. If it is, we print $$$m$$$ and $$$n$$$. If",90
chunk::problem_codeforces_2219_A::360,problem::codeforces_2219_A,codeforces_2219_A,PROBLEM,PROBLEM,"a positive integer such that $$$\vert m-n\vert \le p$$$. If it is, we print $$$m$$$ and $$$n$$$. If no $$$n$$$ works, then we print $$$-1$$$. Extra. Can you solve the problem faster?",32
chunk::problem_codeforces_2219_B1::0,problem::codeforces_2219_B1,codeforces_2219_B1,PROBLEM,PROBLEM,"Unique Values (Easy version) B1. Unique Values (Easy version) time limit per test 2 seconds memory limit per test 256 megabytes input standard input output standard output The difference between the easy version and hard version is the maximum number of queries allowed. In this version, it is 66. There is a secret array $$$a$$$ of length $$$2n+1$$$, whose elements are integers from $$$1$$$ to $$$n$$$. Each value appears exactly twice, except for one value, which appears exactly three times. Your goal is to find the three positions of the",90
chunk::problem_codeforces_2219_B1::72,problem::codeforces_2219_B1,codeforces_2219_B1,PROBLEM,PROBLEM,"for one value, which appears exactly three times. Your goal is to find the three positions of the value that appears three times. To do this, you may ask the following query at most 66 times: Choose an integer $$$k$$$ and an array $$$s$$$ of $$$k$$$ distinct indices between $$$1$$$ and $$$2n+1$$$. You will receive the number of different values among $$$a_{s_1}, a_{s_2}, \ldots, a_{s_k}$$$ that appear exactly once, or, in other words, the count of values that are not repeated. For example, if the values $$$a_{s_1}, \ldots, a_{s_k}$$$ are",90
chunk::problem_codeforces_2219_B1::144,problem::codeforces_2219_B1,codeforces_2219_B1,PROBLEM,PROBLEM,"words, the count of values that are not repeated. For example, if the values $$$a_{s_1}, \ldots, a_{s_k}$$$ are $$$\{2, 1, 2, 3, 2, 3, 6, 7\}$$$, the answer to the query will be 3, as 1, 6, 7 are the only values that appear exactly once. 3 appears 2 times and 2 appears 3 times, which is more than once, so they are not counted. Solution: There are many solutions that use $$$6 \cdot \log_2(2 \cdot n + 1)$$$ queries. Here is one: Notice that if we query for the",90
chunk::problem_codeforces_2219_B1::216,problem::codeforces_2219_B1,codeforces_2219_B1,PROBLEM,PROBLEM,"$$$6 \cdot \log_2(2 \cdot n + 1)$$$ queries. Here is one: Notice that if we query for the set $$$S$$$ and its complement $$$T$$$ (i.e. $$$T = \{1, 2, \ldots, 2 \cdot n + 1\} \setminus S$$$) we can know how many of the three special indices are in $$$S$$$ and how many in $$$T$$$. If the answer for both queries is the same, we know that $$$S$$$ has either 0 or 3 of the special indices, and looking at the parity of $$$|S| - query(S)$$$ (This is the number",90
chunk::problem_codeforces_2219_B1::288,problem::codeforces_2219_B1,codeforces_2219_B1,PROBLEM,PROBLEM,"3 of the special indices, and looking at the parity of $$$|S| - query(S)$$$ (This is the number of repeated elements), $$$S$$$ will have 3 of the special indices if this count is odd. If the answer for the two queries is different, we know that $$$S$$$ will have exactly one of the special indices iff $$$query(S) \gt query(T)$$$ since it has one more unique value. With this in mind, we can run 3 binary searches. The first one looks for any index that is special, the following ones do",90
