edge_id,global_problem_id,source_tree_node_id,target_tree_node_id,source_node_key,target_node_key,edge_type,reason,confidence,generation_status
edge::codeforces_2218_G::1::SUPPORTS,codeforces_2218_G,llm::codeforces_2218_G::understand_when_no_valid_a,llm::codeforces_2218_G::algorithm_count,understand_when_no_valid_a,algorithm_count,SUPPORTS,La condición de imposibilidad (vecino con b menor) determina si el algoritmo debe devolver 0 antes de contar.,0.86,responses_api
edge::codeforces_2218_G::2::SUPPORTS,codeforces_2218_G,llm::codeforces_2218_G::obs_independence,llm::codeforces_2218_G::algorithm_count,obs_independence,algorithm_count,SUPPORTS,Justifica multiplicar las cantidades de opciones por cada a_i.,0.84,responses_api
edge::codeforces_2218_G::3::PROOF_DEPENDS_ON,codeforces_2218_G,llm::codeforces_2218_G::model_ct,llm::codeforces_2218_G::typeA,model_ct,typeA,PROOF_DEPENDS_ON,Las fórmulas de Tipo A usan c_{t-1} para contar intervalos de a_i.,0.82,responses_api
edge::codeforces_2218_G::4::PROOF_DEPENDS_ON,codeforces_2218_G,llm::codeforces_2218_G::model_ct,llm::codeforces_2218_G::typeB,model_ct,typeB,PROOF_DEPENDS_ON,Las fórmulas de Tipo B usan c_{t-2} y c_{t-1} para el rango de a_i.,0.82,responses_api
edge::codeforces_2218_G::5::SUPPORTS,codeforces_2218_G,llm::codeforces_2218_G::proof_conditions_split,llm::codeforces_2218_G::algorithm_count,proof_conditions_split,algorithm_count,SUPPORTS,La clasificación Tipo A/B es la base para calcular cuántos valores de a_i hay por persona.,0.8,responses_api
edge::codeforces_2218_G::6::SAME_STRATEGY,codeforces_2218_G,llm::codeforces_2218_G::typeA,llm::codeforces_2218_G::algorithm_count,typeA,algorithm_count,SAME_STRATEGY,Tipo A define el conteo de opciones de a_i que el algoritmo usa.,0.83,responses_api
edge::codeforces_2218_G::7::SAME_STRATEGY,codeforces_2218_G,llm::codeforces_2218_G::typeB,llm::codeforces_2218_G::algorithm_count,typeB,algorithm_count,SAME_STRATEGY,Tipo B define el conteo de opciones de a_i que el algoritmo usa.,0.83,responses_api
edge::codeforces_2218_G::8::SUPPORTS,codeforces_2218_G,llm::codeforces_2218_G::unknown_modulo_and_bi_zero,llm::codeforces_2218_G::algorithm_count,unknown_modulo_and_bi_zero,algorithm_count,SUPPORTS,El módulo se usa en el producto final; además hay una restricción directa para b_i=0 (a_i=0) mencionada en hints.,0.45,responses_api
edge::codeforces_2218_F::1::SUPPORTS,codeforces_2218_F,llm::codeforces_2218_F::problem,llm::codeforces_2218_F::understanding_root_parity,problem,understanding_root_parity,SUPPORTS,"Root subtree size equals x+y, enabling feasibility checks.",0.85,responses_api
edge::codeforces_2218_F::2::SUPPORTS,codeforces_2218_F,llm::codeforces_2218_F::understanding_root_parity,llm::codeforces_2218_F::model_reduce_excluding_root,understanding_root_parity,model_reduce_excluding_root,SUPPORTS,Editorial instructs to decrement x or y to exclude root after initial checks.,0.85,responses_api
edge::codeforces_2218_F::3::SUPPORTS,codeforces_2218_F,llm::codeforces_2218_F::model_reduce_excluding_root,llm::codeforces_2218_F::observation_even_needs_odd_child,model_reduce_excluding_root,observation_even_needs_odd_child,SUPPORTS,Observation is used for vertices after excluding root.,0.8,responses_api
edge::codeforces_2218_F::4::PROOF_DEPENDS_ON,codeforces_2218_F,llm::codeforces_2218_F::observation_even_needs_odd_child,llm::codeforces_2218_F::proof_impossibility_count_relation,observation_even_needs_odd_child,proof_impossibility_count_relation,PROOF_DEPENDS_ON,The counting impossibility follows from the structural observation.,0.85,responses_api
edge::codeforces_2218_F::5::SUPPORTS,codeforces_2218_F,llm::codeforces_2218_F::proof_impossibility_count_relation,llm::codeforces_2218_F::edge_cases_possible,proof_impossibility_count_relation,edge_cases_possible,SUPPORTS,"After rejecting impossible cases, editorial claims remaining cases are possible.",0.7,responses_api
edge::codeforces_2218_F::6::SUPPORTS,codeforces_2218_F,llm::codeforces_2218_F::edge_cases_possible,llm::codeforces_2218_F::algorithm_construct_pairs_to_root,edge_cases_possible,algorithm_construct_pairs_to_root,SUPPORTS,Editorial provides the constructive method for remaining cases.,0.8,responses_api
edge::codeforces_2218_F::7::IMPLEMENTATION_DEPENDS_ON,codeforces_2218_F,llm::codeforces_2218_F::algorithm_construct_pairs_to_root,llm::codeforces_2218_F::implementation_notes,algorithm_construct_pairs_to_root,implementation_notes,IMPLEMENTATION_DEPENDS_ON,Implementation follows the described construction steps.,0.55,responses_api
edge::codeforces_2218_F::8::PREREQUISITE_OF,codeforces_2218_F,llm::codeforces_2218_F::prerequisite_subtree_parity,llm::codeforces_2218_F::observation_even_needs_odd_child,prerequisite_subtree_parity,observation_even_needs_odd_child,PREREQUISITE_OF,Observation relies on parity of sums of even child subtrees plus the node.,0.85,responses_api
edge::codeforces_2218_E::1::SUPPORTS,codeforces_2218_E,llm::codeforces_2218_E::problem,llm::codeforces_2218_E::hints,problem,hints,SUPPORTS,Las pistas guían el razonamiento del editorial.,0.9,responses_api
edge::codeforces_2218_E::2::SUPPORTS,codeforces_2218_E,llm::codeforces_2218_E::problem,llm::codeforces_2218_E::understand_effects_1,problem,understand_effects_1,SUPPORTS,El editorial comienza simulando la primera operación.,0.9,responses_api
edge::codeforces_2218_E::3::SUPPORTS,codeforces_2218_E,llm::codeforces_2218_E::understand_effects_1,llm::codeforces_2218_E::understand_effects_2,understand_effects_1,understand_effects_2,SUPPORTS,La segunda operación usa la simplificación indicada en Hint 2.,0.95,responses_api
edge::codeforces_2218_E::4::SUPPORTS,codeforces_2218_E,llm::codeforces_2218_E::understand_effects_2,llm::codeforces_2218_E::observation_invariant,understand_effects_2,observation_invariant,SUPPORTS,De la independencia de a1 y la generalización se obtiene el invariante x ⊕ y.,0.9,responses_api
edge::codeforces_2218_E::5::SUPPORTS,codeforces_2218_E,llm::codeforces_2218_E::observation_invariant,llm::codeforces_2218_E::model,observation_invariant,model,SUPPORTS,El invariante reduce el problema a maximizar a_x ⊕ a_y.,0.9,responses_api
edge::codeforces_2218_E::6::PROOF_DEPENDS_ON,codeforces_2218_E,llm::codeforces_2218_E::proof_sketch,llm::codeforces_2218_E::model,proof_sketch,model,PROOF_DEPENDS_ON,El modelo se justifica por el razonamiento inductivo del editorial.,0.85,responses_api
edge::codeforces_2218_E::7::SUPPORTS,codeforces_2218_E,llm::codeforces_2218_E::model,llm::codeforces_2218_E::algorithm,model,algorithm,SUPPORTS,El algoritmo brute force implementa la maximización del modelo.,0.9,responses_api
edge::codeforces_2218_E::8::SAME_STRATEGY,codeforces_2218_E,llm::codeforces_2218_E::algorithm,llm::codeforces_2218_E::complexity,algorithm,complexity,SAME_STRATEGY,La complejidad depende del brute force; el editorial solo afirma que n es pequeño.,0.4,responses_api
edge::codeforces_2218_E::9::IMPLEMENTATION_DEPENDS_ON,codeforces_2218_E,llm::codeforces_2218_E::algorithm,llm::codeforces_2218_E::implementation,algorithm,implementation,IMPLEMENTATION_DEPENDS_ON,La implementación sigue directamente la enumeración de pares.,0.45,responses_api
edge::codeforces_2218_D::1::SUPPORTS,codeforces_2218_D,llm::codeforces_2218_D::problem,llm::codeforces_2218_D::hint_coprime,problem,hint_coprime,SUPPORTS,La pista guía hacia coprimalidad como idea central.,0.8,responses_api
