edge_id,source_node_id,target_node_id,edge_type,reason,confidence
pi_edge::pi_root_competitive_programming::pi_pedagogy_root,pi::root::competitive_programming,pi::pedagogy::root,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_root_competitive_programming::pi_platform_codeforces,pi::root::competitive_programming,pi::platform::codeforces,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_root::pi_pedagogy_prerequisites,pi::pedagogy::root,pi::pedagogy::prerequisites,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_root::pi_pedagogy_topic_implementation_constructive,pi::pedagogy::root,pi::pedagogy::topic::implementation_constructive,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_root::pi_pedagogy_topic_math,pi::pedagogy::root,pi::pedagogy::topic::math,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_root::pi_pedagogy_topic_techniques,pi::pedagogy::root,pi::pedagogy::topic::techniques,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_platform_codeforces::pi_topic_codeforces_implementation_constructive,pi::platform::codeforces,pi::topic::codeforces::implementation_constructive,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_root::pi_pedagogy_risks,pi::pedagogy::root,pi::pedagogy::risks,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_root::pi_pedagogy_topic_dynamic_programming,pi::pedagogy::root,pi::pedagogy::topic::dynamic_programming,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_root::pi_pedagogy_topic_graphs,pi::pedagogy::root,pi::pedagogy::topic::graphs,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_root::pi_pedagogy_topic_data_structures,pi::pedagogy::root,pi::pedagogy::topic::data_structures,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_root::pi_pedagogy_topic_greedy,pi::pedagogy::root,pi::pedagogy::topic::greedy,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_platform_codeforces::pi_topic_codeforces_techniques,pi::platform::codeforces,pi::topic::codeforces::techniques,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_platform_codeforces::pi_topic_codeforces_greedy,pi::platform::codeforces,pi::topic::codeforces::greedy,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_platform_codeforces::pi_topic_codeforces_data_structures,pi::platform::codeforces,pi::topic::codeforces::data_structures,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_platform_codeforces::pi_topic_codeforces_graphs,pi::platform::codeforces,pi::topic::codeforces::graphs,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_root::pi_pedagogy_topic_strings,pi::pedagogy::root,pi::pedagogy::topic::strings,PARENT_OF,Tree parent-child relationship.,1.0
