node_id,parent_node_id,global_problem_id,node_type,title,text,depth,order,source,normalized_difficulty,normalized_tags,topic_group,url,metadata
pi::pedagogy::root,pi::root::competitive_programming,,PEDAGOGY_ROOT,Pedagogical Knowledge Layer,"Connected layer of topics, techniques, prerequisites, risks, and student-facing approaches.",1,0,,,[],[],,"{""layer"": ""pedagogical_graph""}"
pi::pedagogy::prerequisites,pi::pedagogy::root,,PREREQUISITE_GROUP,Prerequisites,Reusable prerequisite skills used to explain why an approach is valid.,2,1,,,[],[],,"{""layer"": ""pedagogical_graph""}"
pi::pedagogy::risks,pi::pedagogy::root,,RISK_GROUP,Common Risks,"Reusable error modes such as overflow, off-by-one, weak proof, and missing edge cases.",2,2,,,[],[],,"{""layer"": ""pedagogical_graph""}"
pi::pedagogy::topic::implementation_constructive,pi::pedagogy::root,,TOPIC,Implementation Constructive,Implementation-heavy and constructive pattern building.,2,1,,,"[""implementation_constructive""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""implementation_constructive""}"
pi::pedagogy::topic::math,pi::pedagogy::root,,TOPIC,Math,"Mathematical modeling, formulas, number theory, counting, and proof-oriented reasoning.",2,1,,,"[""math""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""math""}"
pi::pedagogy::topic::techniques,pi::pedagogy::root,,TOPIC,Techniques,"Reusable techniques such as binary search, two pointers, sorting, and prefix sums.",2,1,,,"[""techniques""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""techniques""}"
pi::pedagogy::technique::constructive,pi::pedagogy::topic::implementation_constructive,,TECHNIQUE,Constructive,"Technique constructive. Prerequisites: pattern_recognition, case_splitting, validity_proof. Common risks: invalid_construction, edge_cases, proof_gap.",3,1,,,"[""constructive"", ""implementation_constructive""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""technique"": ""constructive""}"
pi::pedagogy::approach::codeforces_2218_G::constructive,pi::problem::codeforces_2218_G,codeforces_2218_G,APPROACH,"The 67th Iteration of ""Counting is Fun"" - Constructive Approach","This problem can be interpreted through constructive. Evidence: The 67th Iteration of ""Counting is Fun""

G. The 67th Iteration of ""Counting is Fun""
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Macaque has taken you to his habitat, shown you his job, and even forced you to do his homework for him. While it might have not been easy for you, Macaque has. Prerequisites: pattern_recognition, case_splitting, validity_proof. Common risks: invalid_construction, edge_cases, proof_gap.",4,1,codeforces,1800.0,"[""implementation_constructive"", ""math"", ""constructive""]","[""implementation_constructive"", ""math"", ""techniques""]",https://codeforces.com/problemset/problem/2218/G,"{""layer"": ""pedagogical_graph"", ""technique"": ""constructive"", ""prerequisites"": [""pattern_recognition"", ""case_splitting"", ""validity_proof""], ""risks"": [""invalid_construction"", ""edge_cases"", ""proof_gap""], ""evidence"": ""The 67th Iteration of \""Counting is Fun\""\n\nG. The 67th Iteration of \""Counting is Fun\""\ntime limit per test\n2 seconds\nmemory limit per test\n256 megabytes\ninput\nstandard input\noutput\nstandard output\n\nMacaque has taken you to his habitat, shown you his job, and even forced you to do his homework for him. While it might have not been easy for you, Macaque has""}"
pi::pedagogy::prerequisite::pattern_recognition,pi::pedagogy::prerequisites,,PREREQUISITE,Pattern Recognition,Prerequisite skill: pattern recognition.,3,1,,,"[""pattern_recognition""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""pattern_recognition""}"
pi::pedagogy::prerequisite::case_splitting,pi::pedagogy::prerequisites,,PREREQUISITE,Case Splitting,Prerequisite skill: case splitting.,3,1,,,"[""case_splitting""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""case_splitting""}"
