edge_id,source_node_id,target_node_id,edge_type,reason,confidence
pi_ped_edge::INDEXES_PROBLEM::pi_pedagogy_topic_implementation_constructive::pi_problem_codeforces_2218_G,pi::pedagogy::topic::implementation_constructive,pi::problem::codeforces_2218_G,INDEXES_PROBLEM,Problem belongs to topic implementation_constructive.,0.68
pi_ped_edge::INDEXES_PROBLEM::pi_pedagogy_topic_math::pi_problem_codeforces_2218_G,pi::pedagogy::topic::math,pi::problem::codeforces_2218_G,INDEXES_PROBLEM,Problem belongs to topic math.,0.68
pi_ped_edge::INDEXES_PROBLEM::pi_pedagogy_topic_techniques::pi_problem_codeforces_2218_G,pi::pedagogy::topic::techniques,pi::problem::codeforces_2218_G,INDEXES_PROBLEM,Problem belongs to topic techniques.,0.68
pi_ped_edge::EXPLAINS_APPROACH::pi_pedagogy_technique_constructive::pi_pedagogy_approach_codeforces_2218_G_constructive,pi::pedagogy::technique::constructive,pi::pedagogy::approach::codeforces_2218_G::constructive,EXPLAINS_APPROACH,Global technique explains this problem-specific approach.,0.76
pi_ped_edge::INDEXES_PROBLEM::pi_pedagogy_technique_constructive::pi_problem_codeforces_2218_G,pi::pedagogy::technique::constructive,pi::problem::codeforces_2218_G,INDEXES_PROBLEM,Problem can be reached through technique constructive.,0.74
pi_ped_edge::PREREQUISITE_OF::pi_pedagogy_prerequisite_pattern_recognition::pi_pedagogy_approach_codeforces_2218_G_constructive,pi::pedagogy::prerequisite::pattern_recognition,pi::pedagogy::approach::codeforces_2218_G::constructive,PREREQUISITE_OF,pattern_recognition is needed for constructive.,0.72
pi_ped_edge::PREREQUISITE_OF::pi_pedagogy_prerequisite_case_splitting::pi_pedagogy_approach_codeforces_2218_G_constructive,pi::pedagogy::prerequisite::case_splitting,pi::pedagogy::approach::codeforces_2218_G::constructive,PREREQUISITE_OF,case_splitting is needed for constructive.,0.72
pi_ped_edge::PREREQUISITE_OF::pi_pedagogy_prerequisite_validity_proof::pi_pedagogy_approach_codeforces_2218_G_constructive,pi::pedagogy::prerequisite::validity_proof,pi::pedagogy::approach::codeforces_2218_G::constructive,PREREQUISITE_OF,validity_proof is needed for constructive.,0.72
pi_ped_edge::HAS_RISK::pi_pedagogy_approach_codeforces_2218_G_constructive::pi_pedagogy_risk_invalid_construction,pi::pedagogy::approach::codeforces_2218_G::constructive,pi::pedagogy::risk::invalid_construction,HAS_RISK,The constructive approach may fail through invalid_construction.,0.64
pi_ped_edge::HAS_RISK::pi_pedagogy_approach_codeforces_2218_G_constructive::pi_pedagogy_risk_edge_cases,pi::pedagogy::approach::codeforces_2218_G::constructive,pi::pedagogy::risk::edge_cases,HAS_RISK,The constructive approach may fail through edge_cases.,0.64
pi_ped_edge::HAS_RISK::pi_pedagogy_approach_codeforces_2218_G_constructive::pi_pedagogy_risk_proof_gap,pi::pedagogy::approach::codeforces_2218_G::constructive,pi::pedagogy::risk::proof_gap,HAS_RISK,The constructive approach may fail through proof_gap.,0.64
pi_ped_edge::EXPLAINS_APPROACH::pi_pedagogy_technique_number_theory::pi_pedagogy_approach_codeforces_2218_G_number_theory,pi::pedagogy::technique::number_theory,pi::pedagogy::approach::codeforces_2218_G::number_theory,EXPLAINS_APPROACH,Global technique explains this problem-specific approach.,0.76
pi_ped_edge::INDEXES_PROBLEM::pi_pedagogy_technique_number_theory::pi_problem_codeforces_2218_G,pi::pedagogy::technique::number_theory,pi::problem::codeforces_2218_G,INDEXES_PROBLEM,Problem can be reached through technique number_theory.,0.74
