student_id,global_problem_id,title,normalized_difficulty,detected_problem_strategies,target_strategy,recommendation_score,reason,url
student_binary,codeforces_192_A,Funky Numbers,1300.0,"[""BINARY_SEARCH"", ""MATH_FORMULA""]",MATH_FORMULA,0.9259,"Recomendado porque trabaja MATH_FORMULA, con dificultad cercana a 1300 y evidencia en el statement/editorial.",https://codeforces.com/problemset/problem/192/A
student_binary,codeforces_2219_A,Grid L,1400.0,"[""MATH_FORMULA""]",MATH_FORMULA,0.874,"Recomendado porque trabaja MATH_FORMULA, con dificultad cercana a 1300 y evidencia en el statement/editorial.",https://codeforces.com/problemset/problem/2219/A
student_binary,codeforces_750_A,New Year and Hurry,800.0,"[""BINARY_SEARCH"", ""MATH_FORMULA""]",MATH_FORMULA,0.7899,"Recomendado porque trabaja MATH_FORMULA, con dificultad cercana a 1300 y evidencia en el statement/editorial.",https://codeforces.com/problemset/problem/750/A
student_binary,codeforces_1915_C,Can I Square?,800.0,"[""BINARY_SEARCH"", ""MATH_FORMULA""]",MATH_FORMULA,0.781,"Recomendado porque trabaja MATH_FORMULA, con dificultad cercana a 1300 y evidencia en el statement/editorial.",https://codeforces.com/problemset/problem/1915/C
student_binary,codeforces_2220_B,OIE Excursion,1200.0,"[""GREEDY""]",MATH_FORMULA,0.4992,"Recomendado como practica de transferencia; no coincide directamente con MATH_FORMULA, pero mantiene dificultad razonable.",https://codeforces.com/problemset/problem/2220/B
student_formula,codeforces_192_A,Funky Numbers,1300.0,"[""BINARY_SEARCH"", ""MATH_FORMULA""]",MATH_FORMULA,0.9259,"Recomendado porque trabaja MATH_FORMULA, con dificultad cercana a 1300 y evidencia en el statement/editorial.",https://codeforces.com/problemset/problem/192/A
student_formula,codeforces_2219_A,Grid L,1400.0,"[""MATH_FORMULA""]",MATH_FORMULA,0.874,"Recomendado porque trabaja MATH_FORMULA, con dificultad cercana a 1300 y evidencia en el statement/editorial.",https://codeforces.com/problemset/problem/2219/A
student_formula,codeforces_750_A,New Year and Hurry,800.0,"[""BINARY_SEARCH"", ""MATH_FORMULA""]",MATH_FORMULA,0.7899,"Recomendado porque trabaja MATH_FORMULA, con dificultad cercana a 1300 y evidencia en el statement/editorial.",https://codeforces.com/problemset/problem/750/A
student_formula,codeforces_1915_C,Can I Square?,800.0,"[""BINARY_SEARCH"", ""MATH_FORMULA""]",MATH_FORMULA,0.781,"Recomendado porque trabaja MATH_FORMULA, con dificultad cercana a 1300 y evidencia en el statement/editorial.",https://codeforces.com/problemset/problem/1915/C
student_formula,codeforces_2220_B,OIE Excursion,1200.0,"[""GREEDY""]",MATH_FORMULA,0.4992,"Recomendado como practica de transferencia; no coincide directamente con MATH_FORMULA, pero mantiene dificultad razonable.",https://codeforces.com/problemset/problem/2220/B
